"AGED -- 2008 ENROLLMENT, REIMBURSEMENT, PER CAPITA COST (MONTHLY) AND 2007 DEMOGRAPHIC FACTORS FOR HOSPITAL AND SUPPLEMENTARY MEDICAL INSURANCE BY STATE AND COUNTY OF RESIDENCE"
AGED BENEFICIARIES

STATE,CODE,COUNTY,PART A ENROLLMENT,PART A TOTAL REIMBURSEMENT,PART A TOTAL PER CAPITA,PART A REIMBURSEMENT W/O IME/DSH/GME,PART A PER CAPITA W/O IME/DSH/GME,PART A IME,PART A DSH,PART A GME,PART A DEMOG FACTORS,PART B ENROLLMENT,PART B TOTAL REIMBURSEMENT,PART B PER CAPITA,PART B DEMOG FACTORS,AGED & DBLD MEAN RISK SCORES
ALABAMA                  ,01000,AUTAUGA                ,"4,214","17,189,714",339.93,"15,440,952",305.35,"223,527","1,448,314","76,921",0.896,"3,936","15,933,305",337.33,0.941,0.898
ALABAMA                  ,01010,BALDWIN                ,"21,839","81,293,450",310.20,"78,065,143",297.88,"374,863","2,645,906","207,538",0.899,"20,795","81,262,086",325.64,0.943,0.928
ALABAMA                  ,01020,BARBOUR                ,"2,779","11,818,209",354.39,"11,055,367",331.52,"56,790","681,664","24,388",1.063,"2,703","9,776,229",301.40,1.032,0.984
ALABAMA                  ,01030,BIBB                   ,"1,932","10,836,928",467.43,"9,874,711",425.93,"164,346","734,204","63,667",0.953,"1,843","7,155,232",323.41,0.975,1.020
ALABAMA                  ,01040,BLOUNT                 ,"3,955","19,287,692",406.40,"18,146,925",382.36,"290,323","665,389","185,055",0.972,"3,722","13,993,327",313.27,0.982,0.979
ALABAMA                  ,01050,BULLOCK                ,934,"4,805,763",428.78,"4,323,944",385.79,"50,511","414,151","17,157",1.122,890,"3,128,031",292.70,1.051,0.926
ALABAMA                  ,01060,BUTLER                 ,"2,807","15,917,674",472.56,"14,252,107",423.11,"178,480","1,432,272","54,815",1.084,"2,730","11,108,731",339.08,1.040,1.024
ALABAMA                  ,01070,CALHOUN                ,"15,988","84,153,712",438.63,"78,370,340",408.49,"688,988","4,697,946","396,438",0.933,"15,164","58,202,352",319.83,0.962,1.025
ALABAMA                  ,01080,CHAMBERS               ,"4,827","22,105,900",381.64,"20,217,577",349.04,"102,418","1,749,510","36,395",1.015,"4,691","15,673,553",278.39,1.002,1.018
ALABAMA                  ,01090,CHEROKEE               ,"3,099","14,517,704",390.39,"13,706,465",368.57,"88,977","675,336","46,926",0.966,"3,002","10,908,531",302.78,0.978,0.949
ALABAMA                  ,01100,CHILTON                ,"3,344","18,146,614",452.22,"17,109,419",426.37,"127,899","850,564","58,732",0.969,"3,189","13,491,890",352.49,0.979,0.986
ALABAMA                  ,01110,CHOCTAW                ,"2,014","9,618,507",397.99,"8,882,990",367.55,"39,521","676,178","19,818",1.052,"1,987","6,784,030",284.45,1.022,0.915
ALABAMA                  ,01120,CLARKE                 ,"3,625","18,209,711",418.61,"16,996,597",390.73,"160,973","985,313","66,828",0.999,"3,498","12,329,952",293.72,0.997,0.918
ALABAMA                  ,01130,CLAY                   ,"2,099","9,809,634",389.46,"9,172,376",364.16,"119,461","441,713","76,084",1.052,"2,039","7,299,711",298.26,1.025,1.004
ALABAMA                  ,01140,CLEBURNE               ,"1,948","9,586,434",410.10,"8,929,412",381.99,"65,733","548,163","43,126",0.975,"1,898","6,800,162",298.57,0.983,0.961
ALABAMA                  ,01150,COFFEE                 ,"6,135","24,976,965",339.27,"23,337,060",316.99,"71,666","1,540,178","28,061",0.977,"5,949","20,118,795",281.80,0.981,0.970
