"AGED -- 2007 ENROLLMENT, REIMBURSEMENT, PER CAPITA COST (MONTHLY) AND 2007 DEMOGRAPHIC FACTORS "
FOR HOSPITAL AND SUPPLEMENTARY MEDICAL INSURANCE BY STATE AND COUNTY OF RESIDENCE
PERSONS AGED 65 AND OVER

 STATE , CODE , COUNTY ,PART A ENROLLMENT ,PART A TOTAL REIMBURSEMENT,PART A TOTAL PER CAPITA,PART A REIMBURSEMENT W/O IME/DSH/GME,PART A PER CAPITA W/O IME/DSH/GME,PART A IME ,PART A DSH ,PART A GME ,PART A DEMOG FACTORS,PART B ENROLLMENT ,PART B TOTAL REIMBURSEMENT,PART B PER CAPITA ,PART B DEMOG FACTORS,AGED & DBLD MEAN RISK SCORES

ALABAMA                  ,01000,AUTAUGA                ,"4,579","18,053,515",328.56,"16,260,018",295.92,"210,049","1,510,477","72,971",0.896,"4,323","16,652,361",320.96,0.941,0.910
ALABAMA                  ,01010,BALDWIN                ,"22,130","84,948,302",319.88,"81,682,660",307.59,"366,969","2,700,756","197,917",0.899,"21,210","76,422,234",300.26,0.943,0.944
ALABAMA                  ,01020,BARBOUR                ,"2,859","11,565,606",337.11,"10,794,429",314.63,"67,575","676,074","27,528",1.063,"2,800","9,727,886",289.43,1.032,1.016
ALABAMA                  ,01030,BIBB                   ,"2,044","10,453,847",426.20,"9,567,147",390.05,"180,590","639,236","66,874",0.953,"1,955","7,389,636",314.98,0.975,0.980
ALABAMA                  ,01040,BLOUNT                 ,"4,086","19,736,686",402.53,"18,591,927",379.18,"316,160","626,475","202,124",0.972,"3,887","13,405,269",287.37,0.982,1.005
ALABAMA                  ,01050,BULLOCK                ,983,"4,461,273",378.20,"4,063,035",344.44,"32,224","355,336","10,678",1.122,939,"3,004,798",266.64,1.051,0.946
ALABAMA                  ,01060,BUTLER                 ,"2,979","16,700,847",467.18,"15,039,341",420.70,"156,437","1,459,234","45,835",1.084,"2,904","10,609,633",304.36,1.040,1.024
ALABAMA                  ,01070,CALHOUN                ,"15,936","79,021,641",413.22,"72,766,977",380.52,"1,108,147","4,676,350","470,167",0.933,"15,213","55,161,275",302.15,0.962,1.012
ALABAMA                  ,01080,CHAMBERS               ,"4,945","21,174,638",356.84,"19,158,290",322.86,"156,140","1,820,119","40,089",1.015,"4,809","15,234,556",263.97,1.002,1.050
ALABAMA                  ,01090,CHEROKEE               ,"3,233","14,780,893",380.99,"13,956,534",359.74,"93,566","690,462","40,331",0.966,"3,154","10,698,446",282.65,0.978,0.947
ALABAMA                  ,01100,CHILTON                ,"3,494","17,926,472",427.55,"16,921,018",403.57,"115,105","824,613","65,736",0.969,"3,374","13,934,840",344.17,0.979,1.009
ALABAMA                  ,01110,CHOCTAW                ,"1,972","9,287,770",392.49,"8,675,050",366.59,"26,069","572,756","13,895",1.052,"1,953","6,489,982",276.83,1.022,0.937
ALABAMA                  ,01120,CLARKE                 ,"3,747","18,680,841",415.46,"17,619,074",391.85,"78,075","942,050","41,642",0.999,"3,629","12,112,326",278.10,0.997,0.915
ALABAMA                  ,01130,CLAY                   ,"2,182","10,451,451",399.15,"9,674,230",369.47,"168,564","523,268","85,389",1.052,"2,131","6,993,852",273.41,1.025,1.007
ALABAMA                  ,01140,CLEBURNE               ,"1,957","8,552,235",364.17,"7,843,799",334.01,"124,378","537,255","46,803",0.975,"1,920","6,320,111",274.30,0.983,0.990
ALABAMA                  ,01150,COFFEE                 ,"6,291","24,566,726",325.42,"22,878,145",303.05,"108,076","1,535,327","45,178",0.977,"6,136","18,910,388",256.81,0.981,0.975
ALABAMA                  ,01160,COLBERT                ,"8,549","39,689,939",386.89,"37,485,729",365.40,"186,646","1,944,140","73,424",0.959,"8,362","31,478,032",313.69,0.973,0.989
ALABAMA                  ,01170,CONECUH                ,"1,921","9,540,461",413.87,"8,801,626",381.82,"34,503","695,000","9,332",1.033,"1,864","6,982,199",312.01,1.014,0.973
ALABAMA                  ,01180,COOSA                  ,"1,473","6,325,286",357.85,"5,941,272",336.12,"45,339","311,502","27,173",0.980,"1,423","4,808,524",281.45,0.984,1.001
ALABAMA                  ,01190,COVINGTON              ,"6,411","30,766,789",399.92,"28,425,322",369.49,"143,996","2,141,693","55,778",1.022,"6,250","22,163,707",295.49,1.006,1.023
ALABAMA                  ,01200,CRENSHAW               ,"2,069","10,097,268",406.69,"9,191,826",370.22,"70,748","813,093","21,601",1.088,"2,021","6,500,922",267.95,1.041,0.952
ALABAMA                  ,01210,CULLMAN                ,"11,111","49,735,738",373.02,"46,392,304",347.95,"673,429","2,368,832","301,173",0.988,"10,733","40,807,042",316.82,0.992,1.024
ALABAMA                  ,01220,DALE                   ,"7,817","35,409,268",377.48,"33,291,517",354.91,"143,234","1,925,622","48,895",0.941,"7,613","24,761,630",271.04,0.962,0.968
ALABAMA                  ,01230,DALLAS                 ,"5,488","27,508,114",417.70,"22,845,193",346.90,"568,592","3,820,523","273,806",1.044,"5,352","19,450,678",302.85,1.027,1.021
ALABAMA                  ,01240,DE KALB                ,"8,560","37,172,951",361.89,"34,481,675",335.69,"346,373","2,198,347","146,556",1.009,"8,313","28,233,110",283.01,1.005,0.948
ALABAMA                  ,01250,ELMORE                 ,"7,660","33,675,724",366.36,"30,311,566",329.76,"341,438","2,907,466","115,254",0.911,"7,248","26,855,464",308.76,0.949,0.937
ALABAMA                  ,01260,ESCAMBIA               ,"5,172","22,351,543",360.14,"20,966,874",337.83,"109,869","1,234,631","40,169",0.978,"5,023","18,992,462",315.09,0.988,0.994
ALABAMA                  ,01270,ETOWAH                 ,"14,310","71,466,345",416.18,"67,911,905",395.48,"487,511","2,854,701","212,228",0.975,"13,893","50,495,990",302.88,0.986,1.035
ALABAMA                  ,01280,FAYETTE                ,"2,451","10,640,664",361.78,"9,607,494",326.65,"157,343","829,227","46,600",1.032,"2,393","7,670,618",267.11,1.010,0.981
ALABAMA                  ,01290,FRANKLIN               ,"4,766","24,233,499",423.72,"22,763,842",398.02,"141,084","1,272,647","55,926",0.991,"4,650","17,890,534",320.60,0.997,0.997
ALABAMA                  ,01300,GENEVA                 ,"4,212","19,324,432",382.33,"18,148,120",359.06,"79,194","1,061,905","35,213",1.008,"4,103","13,602,964",276.26,0.998,0.994
ALABAMA                  ,01310,GREENE                 ,"1,217","6,554,064",448.79,"5,855,497",400.95,"112,388","547,271","38,908",1.124,"1,192","4,779,297",333.91,1.063,1.019
ALABAMA                  ,01320,HALE                   ,"2,373","12,792,082",449.22,"11,492,097",403.57,"246,936","973,779","79,270",1.057,"2,318","8,127,648",292.14,1.035,0.954
ALABAMA                  ,01330,HENRY                  ,"2,384","9,082,036",317.46,"8,460,149",295.73,"27,900","585,866","8,121",1.027,"2,294","7,090,873",257.55,1.005,0.978
ALABAMA                  ,01340,HOUSTON                ,"11,057","41,643,509",313.85,"38,751,985",292.06,"122,061","2,718,153","51,310",0.979,"10,694","33,294,240",259.44,0.985,0.943
ALABAMA                  ,01350,JACKSON                ,"8,175","37,726,622",384.57,"34,750,720",354.24,"437,916","2,408,064","129,922",0.955,"7,904","27,710,589",292.12,0.974,0.975
