"AGED -- 2010 ENROLLMENT, REIMBURSEMENT, PER CAPITA COST (MONTHLY) ",,,,,,,,,,,,,,
FOR HOSPITAL AND SUPPLEMENTARY MEDICAL INSURANCE BY STATE AND COUNTY OF RESIDENCE,,,,,,,,,,,,,,
BENEFICIARIES ENROLLED IN PARTS A AND/OR B  ,,,,,,,,,,,,,,
PUERTO RICO BENEFICIARIES ENROLLED IN BOTH PARTS A AND B ONLY,,,,,,,,,,,,,,
REIMBURSEMENTS FOR HOSPICE AND COST CONTRATCS EXCLUDED,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
CODE,STATE,COUNTY,PART A ENROLLMENT,PART A TOTAL REIMBURSEMENT,PART A TOTAL PER CAPITA,PART A REIMBURSEMENT W/O IME/DSH/GME,PART A PER CAPITA W/O IME/DSH/GME,PART A IME,PART A DSH,PART A GME,PART B ENROLLMENT,PART B TOTAL REIMBURSEMENT,PART B PER CAPITA,AGED & DBLD MEAN RISK SCORES
01000,ALABAMA                  ,AUTAUGA,"4,504","16,378,406",303.03,"14,462,178",267.58,"242,973","1,598,349","74,904","4,195","16,835,179",334.43,0.918
01010,ALABAMA                  ,BALDWIN,"22,219","66,992,894",251.26,"63,567,847",238.41,"601,404","2,596,889","226,752","20,925","91,489,022",364.35,0.914
01020,ALABAMA                  ,BARBOUR,"2,935","11,048,817",313.71,"10,258,377",291.27,"82,375","685,632","22,431","2,817","11,249,364",332.78,0.945
01030,ALABAMA                  ,BIBB,"1,957","8,067,649",343.54,"7,273,662",309.73,"144,914","583,570","65,501","1,872","8,342,241",371.36,0.990
01040,ALABAMA                  ,BLOUNT,"3,946","15,240,109",321.85,"14,187,483",299.62,"254,625","617,919","180,079","3,694","15,496,573",349.59,0.916
01050,ALABAMA                  ,BULLOCK,893,"4,275,701",399.00,"3,834,313",357.81,"43,193","385,074","13,119",853,"2,991,844",292.29,0.927
01060,ALABAMA                  ,BUTLER,"2,690","12,707,443",393.66,"11,193,347",346.76,"179,301","1,274,439","60,355","2,612","12,159,670",387.94,1.022
01070,ALABAMA                  ,CALHOUN,"15,704","72,443,986",384.42,"66,693,067",353.91,"767,445","4,656,873","326,600","14,738","66,294,096",374.85,1.015
01080,ALABAMA                  ,CHAMBERS,"4,777","18,839,384",328.65,"16,783,181",292.78,"119,982","1,897,201","39,018","4,615","17,205,422",310.68,1.006
01090,ALABAMA                  ,CHEROKEE,"3,064","12,916,697",351.30,"11,965,365",325.43,"118,591","777,727","55,012","2,951","11,690,754",330.14,0.962
01100,ALABAMA                  ,CHILTON,"3,250","12,730,742",326.43,"11,691,708",299.79,"162,408","812,582","64,043","3,089","14,622,715",394.48,1.011
01110,ALABAMA                  ,CHOCTAW,"2,167","8,199,190",315.30,"7,446,694",286.37,"48,810","680,989","22,695","2,148","8,313,785",322.54,0.910
01120,ALABAMA                  ,CLARKE,"3,778","15,266,141",336.73,"14,124,062",311.54,"153,028","907,030","82,019","3,655","14,574,338",332.29,0.919
01130,ALABAMA                  ,CLAY,"1,942","9,059,314",388.75,"8,308,897",356.54,"144,673","509,117","96,626","1,873","7,847,205",349.14,1.006
01140,ALABAMA                  ,CLEBURNE,"1,878","7,511,743",333.32,"6,845,974",303.78,"97,204","534,792","33,772","1,814","7,112,696",326.75,0.958
01150,ALABAMA                  ,COFFEE,"6,075","20,797,276",285.28,"19,142,278",262.58,"104,135","1,511,086","39,776","5,856","22,695,497",322.97,0.944
01160,ALABAMA                  ,COLBERT,"8,134","31,509,446",322.82,"29,111,448",298.25,"261,194","2,040,419","96,384","7,915","36,645,450",385.82,0.992
01170,ALABAMA                  ,CONECUH,"1,862","8,738,920",391.11,"7,964,156",356.43,"74,771","676,185","23,807","1,793","7,972,722",370.55,0.960
01180,ALABAMA                  ,COOSA,"1,460","5,879,193",335.57,"5,255,784",299.99,"89,059","498,551","35,797","1,393","6,512,743",389.61,0.980
01190,ALABAMA                  ,COVINGTON,"6,246","29,014,266",387.10,"26,637,262",355.39,"143,864","2,183,860","49,278","6,012","25,864,688",358.51,0.999
01200,ALABAMA                  ,CRENSHAW,"1,831","7,799,676",354.98,"6,795,519",309.28,"91,989","884,215","27,951","1,759","7,165,419",339.46,0.937
01210,ALABAMA                  ,CULLMAN,"10,478","39,734,485",316.02,"36,595,904",291.05,"583,377","2,274,404","280,797","9,991","45,232,489",377.28,1.027
01220,ALABAMA                  ,DALE,"7,220","28,557,346",329.61,"26,554,307",306.49,"106,388","1,848,015","48,634","6,936","27,567,897",331.22,0.943
01230,ALABAMA                  ,DALLAS,"5,429","29,251,651",449.00,"24,045,141",369.08,"664,188","4,220,912","321,409","5,291","20,911,646",329.36,1.035
01240,ALABAMA                  ,DEKALB,"8,043","33,223,813",344.23,"30,323,602",314.18,"375,654","2,333,667","190,889","7,699","31,176,181",337.45,0.954
01250,ALABAMA                  ,ELMORE,"7,705","30,153,890",326.13,"26,542,781",287.07,"442,615","3,023,396","145,095","7,203","30,801,603",356.35,0.899
01260,ALABAMA                  ,ESCAMBIA,"5,062","20,593,761",339.03,"19,213,005",316.29,"95,032","1,249,138","36,583","4,869","24,093,738",412.37,0.993
01270,ALABAMA                  ,ETOWAH,"13,194","65,820,487",415.72,"61,673,463",389.53,"440,500","3,472,064","234,460","12,685","54,774,598",359.84,1.001
01280,ALABAMA                  ,FAYETTE,"2,171","8,032,731",308.33,"7,233,628",277.66,"122,202","624,389","52,510","2,084","8,440,258",337.50,1.008
01290,ALABAMA                  ,FRANKLIN,"4,497","18,402,175",341.01,"16,977,076",314.60,"118,690","1,255,740","50,667","4,334","20,063,433",385.78,0.993
01300,ALABAMA                  ,GENEVA,"4,048","16,000,344",329.39,"15,021,352",309.23,"48,380","911,858","18,753","3,907","15,446,931",329.47,0.970
01310,ALABAMA                  ,GREENE,"1,152","5,133,052",371.31,"4,584,608",331.64,"89,573","422,117","36,753","1,120","4,689,893",348.95,1.073
01320,ALABAMA                  ,HALE,"2,242","10,313,852",383.36,"9,204,150",342.11,"197,658","827,587","84,455","2,172","9,319,387",357.56,0.930
01330,ALABAMA                  ,HENRY,"2,277","8,332,924",304.97,"7,677,765",280.99,"34,155","604,037","16,965","2,161","8,451,831",325.92,0.951
01340,ALABAMA                  ,HOUSTON,"11,436","43,983,218",320.50,"40,815,754",297.42,"124,044","2,984,968","58,450","10,931","43,781,610",333.77,0.946
01350,ALABAMA                  ,JACKSON,"7,802","31,225,950",333.53,"28,214,033",301.35,"403,744","2,480,730","127,441","7,464","31,985,334",357.11,0.987
01360,ALABAMA                  ,JEFFERSON,"56,761","216,093,584",317.26,"198,300,472",291.13,"5,400,003","8,609,896","3,783,213","52,090","211,835,459",338.89,0.943
