"AGED -- 2011 ENROLLMENT, REIMBURSEMENT, PER CAPITA COST (MONTHLY) , FOR HOSPITAL AND SUPPLEMENTARY MEDICAL INSURANCE BY STATE AND COUNTY OF RESIDENCE, BENEFICIARIES ENROLLED IN PARTS A AND/OR B , PUERTO RICO BENEFICIARIES ENROLLED IN BOTH PARTS A AND B ONLY, REIMBURSEMENTS FOR HOSPICE AND COST CONTRATCS EXCLUDED",,,,,,,,,,,,,,,,,,
CODE,STATE,COUNTY,PART A ENROLLMENT,PART A TOTAL REIMBURSEMENT,PART A TOTAL PER CAPITA,PART A REIMBURSEMENT W/O IME/DSH/GME,PART A PER CAPITA W/O IME/DSH/GME,PART A IME,PART A DSH,PART A GME,PART B ENROLLMENT,PART B TOTAL REIMBURSEMENT,PART B PER CAPITA,AGED & DBLD MEAN RISK SCORES,,,,
01000,ALABAMA,AUTAUGA,"4,648","17,229,450",308.90,"15,230,351",273.06,"293,680","1,614,829","90,589","4,320","18,918,506",364.94,0.908,,,,
01010,ALABAMA,BALDWIN,"22,721","67,085,400",246.05,"63,276,596",232.08,"619,416","2,949,998","239,388","21,298","93,929,471",367.52,0.923,,,,
01020,ALABAMA,BARBOUR,"3,098","13,285,935",357.38,"12,249,927",329.51,"117,165","883,814","35,028","2,954","12,969,365",365.87,0.971,,,,
01030,ALABAMA,BIBB,"2,014","8,635,506",357.31,"7,793,499",322.47,"195,679","566,858","79,468","1,912","8,534,356",371.96,0.962,,,,
01040,ALABAMA,BLOUNT,"4,017","15,881,929",329.47,"14,601,510",302.91,"374,075","710,107","196,236","3,748","15,282,659",339.80,0.916,,,,
01050,ALABAMA,BULLOCK,878,"3,205,379",304.23,"2,893,670",274.65,"34,577","264,056","13,074",833,"2,849,674",285.08,0.976,,,,
01060,ALABAMA,BUTLER,"2,755","13,842,962",418.72,"12,429,565",375.97,"154,973","1,212,725","45,698","2,666","12,951,927",404.85,1.029,,,,
01070,ALABAMA,CALHOUN,"16,321","70,376,460",359.33,"64,752,498",330.62,"687,277","4,604,257","332,428","15,265","68,178,396",372.19,0.996,,,,
01080,ALABAMA,CHAMBERS,"4,893","19,201,617",327.03,"17,076,296",290.83,"98,606","1,992,768","33,947","4,715","17,593,193",310.94,0.991,,,,
01090,ALABAMA,CHEROKEE,"3,098","13,480,927",362.62,"12,383,926",333.12,"150,750","880,238","66,012","2,981","12,169,184",340.19,0.954,,,,
01100,ALABAMA,CHILTON,"3,271","13,827,952",352.29,"12,763,355",325.16,"175,010","818,039","71,547","3,099","14,649,506",393.93,0.994,,,,
01110,ALABAMA,CHOCTAW,"2,211","7,946,769",299.52,"7,204,965",271.56,"69,642","652,000","20,160","2,194","8,770,869",333.14,0.922,,,,
01120,ALABAMA,CLARKE,"3,761","14,225,581",315.20,"13,191,654",292.29,"141,406","825,981","66,538","3,622","14,004,962",322.22,0.901,,,,
01130,ALABAMA,CLAY,"1,970","7,453,931",315.31,"6,763,395",286.10,"140,195","462,582","87,757","1,895","7,353,849",323.39,0.990,,,,
01140,ALABAMA,CLEBURNE,"1,948","7,792,190",333.34,"7,141,618",305.51,"78,338","532,845","39,387","1,870","7,825,125",348.71,0.954,,,,
01150,ALABAMA,COFFEE,"6,189","21,019,677",283.02,"19,362,126",260.71,"105,705","1,509,275","42,569","5,931","24,356,222",342.22,0.935,,,,
01160,ALABAMA,COLBERT,"8,269","34,088,072",343.53,"31,311,836",315.55,"322,011","2,363,588","90,635","8,041","36,526,481",378.54,0.989,,,,
01170,ALABAMA,CONECUH,"1,906","8,537,766",373.28,"7,825,369",342.14,"58,397","636,845","17,154","1,831","7,824,524",356.11,0.969,,,,
01180,ALABAMA,COOSA,"1,515","5,542,795",304.88,"4,932,560",271.32,"84,346","492,191","33,697","1,446","6,424,528",370.25,0.963,,,,
01190,ALABAMA,COVINGTON,"6,457","28,077,282",362.36,"25,706,166",331.76,"125,155","2,198,460","47,500","6,204","27,215,326",365.56,0.984,,,,
01200,ALABAMA,CRENSHAW,"1,870","7,497,558",334.12,"6,577,449",293.11,"90,210","806,756","23,142","1,792","7,467,170",347.25,0.928,,,,
01210,ALABAMA,CULLMAN,"10,701","42,853,463",333.72,"39,285,967",305.94,"734,622","2,535,851","297,022","10,177","45,963,449",376.37,1.015,,,,
01220,ALABAMA,DALE,"7,290","28,365,533",324.25,"26,266,146",300.25,"186,378","1,852,024","60,983","6,965","29,139,143",348.64,0.953,,,,
01230,ALABAMA,DALLAS,"5,482","30,517,588",463.91,"24,809,439",377.13,"777,348","4,571,269","359,530","5,332","21,157,269",330.66,1.047,,,,
01240,ALABAMA,DEKALB,"8,215","30,590,932",310.32,"27,839,718",282.41,"417,593","2,144,089","189,530","7,852","31,865,843",338.19,0.950,,,,
01250,ALABAMA,ELMORE,"8,011","27,528,912",286.37,"24,450,119",254.34,"378,145","2,582,985","117,662","7,444","32,057,820",358.88,0.909,,,,
01260,ALABAMA,ESCAMBIA,"5,107","22,578,744",368.43,"21,061,851",343.68,"121,392","1,351,415","44,085","4,897","24,012,823",408.63,0.973,,,,
01270,ALABAMA,ETOWAH,"13,709","68,840,001",418.46,"64,256,008",390.60,"629,429","3,714,671","239,890","13,140","57,219,808",362.89,0.990,,,,
01280,ALABAMA,FAYETTE,"2,282","9,132,313",333.49,"8,229,845",300.53,"193,011","645,396","64,060","2,197","9,158,976",347.40,0.986,,,,
01290,ALABAMA,FRANKLIN,"4,550","20,609,137",377.46,"18,949,128",347.05,"195,879","1,405,977","58,152","4,376","19,655,079",374.30,0.998,,,,
01300,ALABAMA,GENEVA,"4,157","18,046,814",361.78,"16,827,473",337.33,"85,529","1,105,182","28,629","4,003","16,802,612",349.79,0.974,,,,
01310,ALABAMA,GREENE,"1,156","5,344,378",385.26,"4,853,212",349.86,"93,635","356,507","41,023","1,121","4,784,625",355.68,1.070,,,,
