"AGED -- 2012 ENROLLMENT, REIMBURSEMENT, PER CAPITA COST (MONTHLY) FOR HOSPITAL AND SUPPLEMENTARY MEDICAL INSURANCE BY STATE AND COUNTY OF RESIDENCE, BENEFICIARIES ENROLLED IN PARTS A AND/OR B, PUERTO RICO BENEFICIARIES ENROLLED IN BOTH PARTS A AND B ONLY, REIMBURSEMENTS FOR HOSPICE AND COST CONTRACTS EXCLUDED",,,,,,,,,,,,,,,,,,,,
CODE,STATE,COUNTY,PART A ENROLLMENT,PART A TOTAL REIMBURSEMENT,PART A TOTAL PER CAPITA,PART A REIMBURSEMENT W/O IME/DSH/GME,PART A PER CAPITA W/O IME/DSH/GME,PART A IME,PART A DSH,PART A GME,PART B ENROLLMENT,PART B TOTAL REIMBURSEMENT,PART B PER CAPITA,AGED & DBLD MEAN RISK SCORES,,,,,,
01000,ALABAMA                  ,AUTAUGA                ,"4,751","16,484,605",289.14,"14,624,231",256.51,"280,715","1,498,805","80,853","4,404","19,502,402",369.03,0.911,,,,,,
01010,ALABAMA                  ,BALDWIN                ,"23,434","68,605,301",243.97,"64,362,754",228.88,"648,017","3,381,348","213,181","21,793","96,472,930",368.90,0.929,,,,,,
01020,ALABAMA                  ,BARBOUR                ,"3,164","12,769,443",336.32,"11,748,544",309.43,"95,560","895,256","30,082","3,022","13,047,174",359.78,0.952,,,,,,
01030,ALABAMA                  ,BIBB                   ,"2,013","7,884,730",326.41,"7,103,637",294.07,"151,589","566,814","62,688","1,899","9,590,191",420.84,0.958,,,,,,
01040,ALABAMA                  ,BLOUNT                 ,"4,120","15,135,959",306.15,"13,747,507",278.06,"397,129","785,281","206,040","3,822","16,515,117",360.09,0.915,,,,,,
01050,ALABAMA                  ,BULLOCK                ,864,"3,452,119",332.96,"3,127,273",301.63,"30,679","283,657","10,507",812,"3,426,146",351.62,0.964,,,,,,
01060,ALABAMA                  ,BUTLER                 ,"2,807","13,168,076",390.93,"11,659,480",346.14,"213,688","1,241,351","53,554","2,712","13,985,079",429.73,1.021,,,,,,
01070,ALABAMA                  ,CALHOUN                ,"16,769","72,558,034",360.58,"66,542,245",330.68,"758,971","5,002,507","254,310","15,602","71,400,611",381.36,1.000,,,,,,
01080,ALABAMA                  ,CHAMBERS               ,"4,997","17,626,917",293.96,"15,726,205",262.26,"106,290","1,762,148","32,272","4,795","18,028,098",313.31,0.983,,,,,,
01090,ALABAMA                  ,CHEROKEE               ,"3,137","13,194,355",350.50,"12,103,874",321.54,"149,866","886,664","53,949","3,004","12,850,947",356.50,0.976,,,,,,
