"AGED - 2014 ENROLLMENT, REIMBURSEMENT, PER CAPITA COST (MONTHLY) FOR PART A AND PART B BY STATE AND COUNTY OF RESIDENCE. (BENEFICIARIES ENROLLED IN PARTS A AND/OR B EXCEPT FOR PUERTO RICO WHERE ENROLLED IN BOTH PARTS A AND B. REIMBURSEMENTS EXCLUDED FOR HOSPICE AND COST CONTRACTS. DATA CELLS WITH LESS THAN 11 BENEFICIARIES HAVE BEEN SUPPRESSED FOR PRIVACY)",,,,,,,,,,,,,,
CODE,STATE,COUNTY,PART A ENROLLMENT,PART A TOTAL REIMBURSEMENT,PART A TOTAL PER CAPITA,PART A TOTAL REIMBURSEMENT W/O IME/DSH/GME,PART A TOTAL PER CAPITA W/O IME/DSH/GME,PART A  IME,PART A  DSH,PART A  GME,PART B  ENROLLMENT,PART B TOTAL REIMBURSEMENT,PART B TOTAL PER CAPITA,AGED AND DISABLED MEAN RISK SCORE
01000,ALABAMA,AUTAUGA,"4,916","15,101,311",255.99,"14,392,255",243.97,"270,069","363,332","75,653","4,549","20,306,302",371.99,0.913
01010,ALABAMA,BALDWIN,"24,961","70,154,354",234.21,"68,484,857",228.64,"692,155","718,101","259,240","23,064","105,367,921",380.71,0.923
01020,ALABAMA,BARBOUR,"3,285","12,215,914",309.89,"11,860,501",300.88,"109,204","211,742","34,466","3,126","13,818,705",368.38,0.984
01030,ALABAMA,BIBB,"2,000","7,752,600",323.03,"7,345,980",306.08,"175,442","169,290","61,887","1,875","9,057,740",402.57,0.953
01040,ALABAMA,BLOUNT,"4,291","13,817,133",268.34,"13,146,166",255.31,"320,719","182,795","167,453","3,955","17,321,613",364.97,0.912
01050,ALABAMA,BULLOCK,825,"3,066,517",309.75,"2,960,204",299.01,"31,597","65,274","9,440",776,"2,820,755",302.92,0.978
01060,ALABAMA,BUTLER,"2,873","11,555,048",335.16,"11,093,524",321.78,"156,917","270,121","34,485","2,766","12,765,727",384.60,1.001
01070,ALABAMA,CALHOUN,"17,111","66,214,107",322.47,"63,967,291",311.53,"679,935","1,323,467","243,413","15,862","71,271,998",374.44,0.981
01080,ALABAMA,CHAMBERS,"5,086","15,631,868",256.13,"15,069,826",246.92,"121,288","402,742","38,011","4,865","18,276,853",313.07,0.989
01090,ALABAMA,CHEROKEE,"3,244","12,597,970",323.62,"12,069,376",310.04,"199,331","262,390","66,871","3,092","13,702,061",369.29,0.942
01100,ALABAMA,CHILTON,"3,350","11,331,682",281.88,"10,986,124",273.29,"109,719","183,699","52,138","3,122","14,501,961",387.09,0.975
01110,ALABAMA,CHOCTAW,"2,263","11,628,277",428.20,"11,350,862",417.99,"76,034","175,193","26,186","2,232","10,796,975",403.11,0.925
01120,ALABAMA,CLARKE,"3,551","13,202,163",309.82,"12,720,772",298.53,"195,984","222,450","62,956","3,396","13,800,031",338.63,0.889
01130,ALABAMA,CLAY,"2,083","7,704,787",308.24,"7,330,530",293.27,"121,786","177,748","74,721","1,994","8,565,246",357.96,1.005
01140,ALABAMA,CLEBURNE,"2,120","8,250,940",324.33,"7,982,735",313.79,"86,419","153,997","27,787","1,991","9,198,468",385.00,0.970
01150,ALABAMA,COFFEE,"6,683","19,811,789",247.04,"19,269,848",240.28,"133,686","363,657","44,596","6,352","26,964,681",353.76,0.915
01160,ALABAMA,COLBERT,"8,528","31,116,655",304.06,"30,277,647",295.87,"193,689","580,398","64,919","8,223","37,186,641",376.86,0.961
01170,ALABAMA,CONECUH,"1,992","8,853,489",370.38,"8,613,449",360.34,"60,129","155,256","24,654","1,911","8,804,845",383.95,0.962
01180,ALABAMA,COOSA,"1,561","4,414,624",235.67,"4,215,442",225.04,"61,627","107,864","29,689","1,480","7,036,709",396.21,0.921
01190,ALABAMA,COVINGTON,"6,629","24,773,441",311.43,"24,147,575",303.56,"146,511","440,052","39,301","6,354","28,687,893",376.24,0.972
01200,ALABAMA,CRENSHAW,"2,041","7,752,839",316.55,"7,460,663",304.62,"90,599","177,700","23,876","1,947","8,523,635",364.82,0.937
01210,ALABAMA,CULLMAN,"11,234","37,972,781",281.68,"36,697,449",272.22,"486,298","575,560","213,473","10,549","48,944,676",386.65,0.982
01220,ALABAMA,DALE,"7,403","26,733,003",300.93,"26,074,954",293.52,"133,167","473,541","51,340","7,003","30,841,631",367.00,0.962
01230,ALABAMA,DALLAS,"5,396","24,467,293",377.86,"22,701,779",350.60,"556,834","954,275","254,403","5,184","22,345,333",359.20,1.052
01240,ALABAMA,DE KALB,"8,468","27,927,835",274.84,"26,871,120",264.44,"341,960","568,491","146,262","7,990","33,387,651",348.22,0.919
01250,ALABAMA,ELMORE,"8,931","26,832,808",250.37,"25,511,182",238.04,"470,997","732,984","117,643","8,225","36,237,996",367.15,0.908
01260,ALABAMA,ESCAMBIA,"5,237","22,113,098",351.87,"21,515,103",342.36,"168,552","380,479","48,964","4,976","25,529,406",427.54,0.982
01270,ALABAMA,ETOWAH,"13,490","60,537,899",373.97,"58,635,062",362.21,"439,440","1,277,547","185,848","12,741","58,157,180",380.38,0.998
01280,ALABAMA,FAYETTE,"2,441","10,611,572",362.27,"10,042,144",342.83,"252,396","239,628","77,404","2,335","10,380,839",370.48,0.999
01290,ALABAMA,FRANKLIN,"4,734","18,765,977",330.34,"18,215,722",320.65,"173,559","332,447","44,247","4,512","19,940,940",368.29,0.955
01300,ALABAMA,GENEVA,"4,427","14,888,408",280.26,"14,598,468",274.80,"40,318","237,363","12,258","4,236","18,867,136",371.17,0.960
01310,ALABAMA,GREENE,"1,214","5,614,377",385.39,"5,314,816",364.83,"130,057","126,081","43,422","1,165","4,768,164",341.07,1.025
01320,ALABAMA,HALE,"2,489","9,623,891",322.21,"9,092,511",304.42,"217,828","238,474","75,077","2,387","9,981,137",348.45,0.917
01330,ALABAMA,HENRY,"2,597","8,710,460",279.50,"8,505,609",272.93,"26,043","169,809","8,997","2,419","11,194,315",385.64,0.934
01340,ALABAMA,HOUSTON,"13,420","47,390,381",294.28,"46,218,614",287.00,"192,738","916,343","62,684","12,695","55,331,998",363.21,0.957
01350,ALABAMA,JACKSON,"8,565","29,761,865",289.57,"28,557,107",277.85,"432,926","600,487","171,343","8,099","36,782,181",378.46,0.988
01360,ALABAMA,JEFFERSON,"62,785","223,117,137",296.14,"210,146,517",278.92,"6,126,025","3,188,254","3,656,340","55,924","241,321,878",359.60,0.932
01370,ALABAMA,LAMAR,"2,647","9,668,587",304.39,"9,263,954",291.65,"150,570","208,623","45,439","2,555","11,145,110",363.51,0.960
01380,ALABAMA,LAUDERDALE,"14,529","48,403,286",277.62,"47,128,691",270.31,"376,275","791,075","107,245","13,905","54,932,547",329.21,0.940
01390,ALABAMA,LAWRENCE,"3,866","13,691,757",295.13,"13,260,599",285.84,"122,027","264,404","44,725","3,759","17,376,844",385.23,1.006
01400,ALABAMA,LEE,"11,917","35,349,996",247.20,"33,911,352",237.14,"427,498","889,207","121,937","11,023","41,483,830",313.62,0.913
01410,ALABAMA,LIMESTONE,"8,698","29,783,823",285.35,"28,758,906",275.53,"346,989","566,627","111,299","8,135","39,196,550",401.52,0.945
01420,ALABAMA,LOWNDES,980,"3,686,958",313.52,"3,473,504",295.37,"77,792","114,524","21,137",928,"3,942,129",354.00,0.942
01430,ALABAMA,MACON,"2,625","7,697,559",244.37,"7,425,964",235.74,"63,749","184,617","23,227","2,299","8,484,101",307.53,0.904
01440,ALABAMA,MADISON,"41,593","138,050,855",276.59,"133,342,560",267.16,"1,828,786","2,088,800","790,707","37,740","178,618,884",394.41,0.957
01450,ALABAMA,MARENGO,"2,671","10,462,888",326.43,"9,946,944",310.34,"213,177","235,533","67,232","2,572","11,008,034",356.66,0.933
01460,ALABAMA,MARION,"4,657","17,729,125",317.25,"17,043,975",304.99,"273,266","302,737","109,147","4,499","21,515,919",398.53,0.969
01470,ALABAMA,MARSHALL,"13,912","50,267,543",301.10,"48,601,945",291.13,"501,241","964,245","200,111","13,005","62,169,665",398.37,1.009
01480,ALABAMA,MOBILE,"33,879","120,004,761",295.18,"115,835,239",284.92,"1,699,588","1,724,112","745,820","30,872","135,277,549",365.16,0.958
01490,ALABAMA,MONROE,"2,891","10,281,548",296.37,"9,949,143",286.78,"130,687","157,718","43,998","2,787","12,404,731",370.91,0.925
01500,ALABAMA,MONTGOMERY,"22,593","77,312,935",285.17,"73,368,416",270.62,"1,334,440","2,262,800","347,277","20,454","88,345,794",359.94,0.931
01510,ALABAMA,MORGAN,"17,597","59,216,849",280.43,"57,398,658",271.82,"547,884","1,078,174","192,131","16,606","73,823,242",370.46,0.970
