2010 Data View: Medicare Part C Report Card Master Table,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Staying Healthy: Screenings, Tests and Vaccines",,,,,,,,,,,,Managing Chronic (Long Term) Conditions,,,,,,,Ratings of Health Plan Responsiveness and Care,,,,,,"Health Plan Members’ Complaints, Appeals, and Choosing to Leave the Health Plan",,,,,Health Plan’s Telephone Customer Service,,
,,,,01/01/2008-12/31/2008,01/01/2008-12/31/2008,01/01/2008-12/31/2008,01/01/2008-12/31/2008,01/01/2008-12/31/2008,02/01/2009-06/30/2009,02/01/2009-06/30/2009,04/01/2008-08/31/2008,04/01/2008-08/31/2008,04/01/2008-08/31/2008,04/01/2008-08/31/2008,01/01/2008-12/31/2008,01/01/2008-12/31/2008,01/01/2008-12/31/2008,01/01/2008-12/31/2008,01/01/2008-12/31/2008,01/01/2008-12/31/2008,04/01/2008-08/31/2008,04/01/2008-08/31/2008,02/01/2009-06/30/2009,02/01/2009-06/30/2009,02/01/2009-06/30/2009,02/01/2009-06/30/2009,02/01/2009-06/30/2009,02/01/2009-06/30/2009,04/01/2008-03/31/2009,01/01/2008-12/31/2008,01/01/2008-12/31/2008,01/01/2008-12/31/2008,01/01/2008-12/31/2008,01/01/2008-12/31/2008,01/01/2008-12/31/2008,01/01/2008-12/31/2008
Contract Number,Organization Type,Parent Organization,Organization Marketing Name,Breast Cancer Screening ,Colorectal Cancer Screening,Cholesterol Screening for Patients with Diabetes or Heart Disease,Glaucoma Testing,Monitoring of Patients Taking Long-term Medications,Annual Flu Vaccine,Pneumonia Vaccine ,Improving or Maintaining Physical Health,Improving or Maintaining Mental Health,Osteoporosis Testing ,Monitoring Physical Activity ,At Least One Primary Care Doctor Visit in the Last Year,Osteoporosis Management,Providing Certain Kinds of Care that Help Plan Members with Diabetes Stay Healthy ,Controlling Blood Pressure,Rheumatoid Arthritis Management,Testing to Confirm Chronic Obstructive Pulmonary Disorder,Improving Bladder Control,Reducing the Risk of Falling,Ease of Getting Needed Care and Seeing Specialists,Doctors Who Communicate Well,Getting Appointments and Care Quickly,Customer Service,Overall Rating of Health Care Quality,Overall Rating of Plan,"Complaints about the Health Plan (number of complaints for every 1,000 members)",Health Plan Makes Timely Decisions about Appeals,"Fairness of Health Plan’s Denials to a Member’s Appeal, Based on an Independent Reviewer",Members Choosing to Leave the Health Plan (lower percentages are better because they mean fewer members choose to leave the plan),Seriousness of Problems Medicare Found During an Audit of the Health Plan (on a scale from 0 to 100; lower numbers are better because they mean fewer serious problems)”,Time on Hold When Customer Calls Health Plan (minutes: seconds),Accuracy of Information Members Get When They Call the Health Plan,Availability of TTY/TDD Services and of Foreign Language Interpretation When Members Call the Health Plan
90091,HCPP - 1833 Cost,UNITED MINE WORKERS OF AMERICA,United Mine Workers of America Health & Retirement,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,0.03,100,Not enough data available to calculate measure,Not enough data available to calculate measure,Not available,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure
E5088,Employer/Union Only Direct Contract PFFS,DMBA (Deseret Mutual Benefit Administrators),Deseret Mutual,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,0.12,3,Not enough data available to calculate measure,Not enough data available to calculate measure,Not available,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure
E6036,Employer/Union Only Direct Contract PFFS,Asociacion De Maestros De Puerto Rico,PROSSAM Plus,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,0.66,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,Not available,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure
H0046,Local CCP,"Jaahel Group, Inc.",ProSalud Medicare Esencial Activo,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,0:26,77,22
H0084,Local CCP,XLHealth Corporation,Care Improvement PPO,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,2:08,72,58
H0104,Local CCP,BlueCross BlueShield of Alabama,Blue Cross Blue Shield of Alabama,62,Plan not required to report measure,64,63,64,67,68,Not enough data available to calculate measure,Not enough data available to calculate measure,71,44,92,15,53,Plan not required to report measure,84,22,39,52,88,89,70,Not enough data available to calculate measure,85,91,1.32,94,53,4,8,0:26,81,54
H0105,National PACE,The Methodist Oaks,The Methodist Oaks d.b.a. The Oaks PACE,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,Not available,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure
H0108,Local CCP,Humana Inc.,"Humana Health Plan of California, Inc.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H0117,Local CCP,"WellCare Health Plans, Inc.",WellCare,Not enough data available to calculate measure,Not enough data available to calculate measure,79,Not enough data available to calculate measure,82,60,64,Not enough data available to calculate measure,Not enough data available to calculate measure,Plan not required to report measure,Plan not required to report measure,87,Not enough data available to calculate measure,54,49,Not enough data available to calculate measure,Not enough data available to calculate measure,Plan not required to report measure,Plan not required to report measure,75,89,71,78,82,71,6.16,36,Not enough data available to calculate measure,25,47,1:11,64,42
