2010 Domain Star View: Medicare Part C Report Card Master Table,,,,,,,,
Contract Number,Organization Type,Parent Organization,Organization Marketing Name,"Staying Healthy: Screenings, Tests and Vaccines",Managing Chronic (Long Term) Conditions,Ratings of Health Plan Responsiveness and Care,"Health Plan Members’ Complaints, Appeals, and Choosing to Leave",Health Plan’s Telephone Customer Service
90091,HCPP - 1833 Cost,UNITED MINE WORKERS OF AMERICA,United Mine Workers of America Health & Retirement,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,5 stars,Not enough data to calculate stars for this category
E5088,Employer/Union Only Direct Contract PFFS,DMBA (Deseret Mutual Benefit Administrators),Deseret Mutual,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,3 out of 5 stars,Not enough data to calculate stars for this category
E6036,Employer/Union Only Direct Contract PFFS,Asociacion De Maestros De Puerto Rico,PROSSAM Plus,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category
H0046,Local CCP,"Jaahel Group, Inc.",ProSalud Medicare Esencial Activo,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H0084,Local CCP,XLHealth Corporation,Care Improvement PPO,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H0104,Local CCP,BlueCross BlueShield of Alabama,Blue Cross Blue Shield of Alabama,3 out of 5 stars,2 out of 5 stars,4 out of 5 stars,4 out of 5 stars,4 out of 5 stars
H0105,National PACE,The Methodist Oaks,The Methodist Oaks d.b.a. The Oaks PACE,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category
H0108,Local CCP,Humana Inc.,"Humana Health Plan of California, Inc.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H0117,Local CCP,"WellCare Health Plans, Inc.",WellCare,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,2 out of 5 stars,2 out of 5 stars,2 out of 5 stars
H0141,Local CCP,CareSource,CareSource,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,3 out of 5 stars
H0150,Local CCP,"HealthSpring, Inc.","Healthspring of Alabama, Inc.",3 out of 5 stars,2 out of 5 stars,4 out of 5 stars,4 out of 5 stars,5 stars
H0151,Local CCP,"UnitedHealth Group, Inc.",SecureHorizons by UnitedHealthcare,3 out of 5 stars,2 out of 5 stars,3 out of 5 stars,4 out of 5 stars,4 out of 5 stars
H0154,Local CCP,UAB Health System,VIVA Medicare Plus,3 out of 5 stars,3 out of 5 stars,4 out of 5 stars,4 out of 5 stars,5 stars
H0248,Local CCP,Humana Inc.,Humana Insurance Company,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H0251,Local CCP,"UnitedHealth Group, Inc.",AmeriChoice Secure Plus Complete,3 out of 5 stars,Not enough data to calculate stars for this category,4 out of 5 stars,5 stars,4 out of 5 stars
H0302,Local CCP,Banner Health,Banner Health MediSun,4 out of 5 stars,3 out of 5 stars,3 out of 5 stars,5 stars,4 out of 5 stars
H0303,Local CCP,"UnitedHealth Group, Inc.",SecureHorizons by UnitedHealthcare,4 out of 5 stars,3 out of 5 stars,2 out of 5 stars,5 stars,3 out of 5 stars
H0307,Local CCP,Humana Inc.,"Humana Health Plan, Inc.",3 out of 5 stars,2 out of 5 stars,3 out of 5 stars,3 out of 5 stars,2 out of 5 stars
