2011 Data View: Medicare Part C Report Card Master Table,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Staying Healthy: Screenings, Tests and Vaccines",,,,,,,,,,,,,Managing Chronic (Long Term) Conditions,,,,,,,,,,Ratings of Health Plan Responsiveness and Care,,,,,,"Health Plan Members’ Complaints, Appeals, and Choosing to Leave the Health Plan",,,,Health Plan’s Telephone Customer Service,,
,,,,1/1/2009 - 12/31/2009,1/1/2009 - 12/31/2009,1/1/2009 - 12/31/2009,1/1/2009 - 12/31/2009,1/1/2009 - 12/31/2009,1/1/2009 - 12/31/2009,Feb - June 2010,Feb - June 2010,Apr - Aug 2009,Apr - Aug 2009,Apr - Aug 2009,Apr - Aug 2009,1/1/2009 - 12/31/2009,1/1/2009 - 12/31/2009,1/1/2009 - 12/31/2009,1/1/2009 - 12/31/2009,1/1/2009 - 12/31/2009,1/1/2009 - 12/31/2009,1/1/2009 - 12/31/2009,1/1/2009 - 12/31/2009,1/1/2009 - 12/31/2009,Apr - Aug 2009,Apr - Aug 2009,Feb - June 2010,Feb - June 2010,Feb - June 2010,Feb - June 2010,Feb - June 2010,Feb - June 2010,1/1/2010 - 06/30/2010,1/1/2009 - 12/31/2009,1/1/2009 - 12/31/2009,1/1/2009 - 12/31/2009,1/1/2010 - 06/30/2010,1/1/2010 - 06/30/2010,1/1/2010 - 06/30/2010
,,,,C01,C02,C03,C04,C05,C06,C07,C08,C09,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C31,C32,C33,C34,C35,C36
Contract Number,Organization Type,Parent Organization,Organization Marketing Name,Breast Cancer Screening,Colorectal Cancer Screening,Cardiovascular Care - Cholesterol Screening,Diabetes Care - Cholesterol Screening,Glaucoma Testing,Appropriate Monitoring for Patients Taking Long Term Medications,Annual Flu Vaccine,Pneumonia Vaccine,Improving or Maintaining Physical Health,Improving or Maintaining Mental Health,Osteorporosis Testing,Monitoring Physical Activity,Access to Primary Care Doctor Visits,Osteoporosis Management in Women who had a Fracture,Diabetes Care – Eye Exam,Diabetes Care – Kidney Disease Monitoring,Diabetes Care – Blood Sugar Controlled,Diabetes Care – Cholesterol Controlled,Controlling Blood Pressure,Rheumatoid Arthritis Management,Testing to Confirm Chronic Obstructive Pulmonary Disease,Improving Bladder Control,Reducing the Risk of Falling,Getting Needed Care without Delays,Doctors who Communicate Well,Getting Appointments and Care Quickly,Customer Service,Overall Rating of Health Care Quality,Overall Rating of Plan,Complaints Tracking Module,Plan Makes Timely Decisions about Appeals,Reviewing Appeals Decisions,Corrective Action Plans,Call Center - Hold Time,Call Center - Information Accuracy,Call Center - Foreign Language interpreter and TTY/TDD availability
H0084,Local CCP,XLHealth Corporation,Care Improvement Plus,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,41,1:17,90,81
H0104,Local CCP,BlueCross BlueShield of Alabama,Blue Cross and Blue Shield of Alabama,66,34,65,69,70,70,61.73,67.06,67,81,77,47,93,20,60,77,34,17,38,82,30,39,52,90.54,89.49,72.27,Not enough data available to calculate measure,85.91,86.88,0.8,87,55,"No data available (see footnote) Footnote: No information is shown because Medicare did not audit this plan during the previous year. This is neither good nor bad, because Medicare does not always audit plans every year.",2:40,89,52
H0108,Local CCP,Humana Inc.,"Humana Health Plan of California, Inc.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,1:57,89,70
H0117,Local CCP,"WellCare Health Plans, Inc.",WellCare,58,41,80,81,63,89,59.83,62.53,Not enough data available to calculate measure,Not enough data available to calculate measure,57,40,92,Not enough data available to calculate measure,55,85,61,39,54,Not enough data available to calculate measure,Not enough data available to calculate measure,33,54,74.86,88,71.06,78.79,79.08,70.48,1.21,96,86,20,0:46,77,86
H0141,Local CCP,CareSource,CareSource,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,"No data available (see footnote) Footnote: No information is shown because Medicare did not audit this plan during the previous year. This is neither good nor bad, because Medicare does not always audit plans every year.",0:51,95,87
H0150,Local CCP,"HealthSpring, Inc.","Healthspring of Alabama, Inc.",70,52,86,84,62,91,57.48,60.22,66,79,61,43,95,17,56,90,73,44,54,64,29,34,58,86.01,90.94,72.71,91.38,84.94,84.97,0.3,93,81,"No data available (see footnote) Footnote: No information is shown because Medicare did not audit this plan during the previous year. This is neither good nor bad, because Medicare does not always audit plans every year.",0:14,90,79
H0151,Local CCP,"UnitedHealth Group, Inc.",SecureHorizons by UnitedHealthcare,61,53,86,79,61,91,58.99,63.71,68,75,59,44,93,15,59,81,66,41,50,78,25,29,59,89.68,90.2,72.86,88.02,84.11,86.46,0.39,92,77,64,0:39,90,68
