2011 Measure Star View: Medicare Part C Report Card Master Table ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Staying Healthy: Screenings, Tests and Vaccines",,,,,,,,,,,,,Managing Chronic (Long Term) Conditions,,,,,,,,,,Ratings of Health Plan Responsiveness and Care,,,,,,"Health Plan Members’ Complaints, Appeals, and Choosing to Leave the Health Plan",,,,Health Plan’s Telephone Customer Service,,
,,,,1/1/2009 - 12/31/2009,1/1/2009 - 12/31/2009,1/1/2009 - 12/31/2009,1/1/2009 - 12/31/2009,1/1/2009 - 12/31/2009,1/1/2009 - 12/31/2009,Feb - June 2010,Feb - June 2010,Apr - Aug 2009,Apr - Aug 2009,Apr - Aug 2009,Apr - Aug 2009,1/1/2009 - 12/31/2009,1/1/2009 - 12/31/2009,1/1/2009 - 12/31/2009,1/1/2009 - 12/31/2009,1/1/2009 - 12/31/2009,1/1/2009 - 12/31/2009,1/1/2009 - 12/31/2009,1/1/2009 - 12/31/2009,1/1/2009 - 12/31/2009,Apr - Aug 2009,Apr - Aug 2009,Feb - June 2010,Feb - June 2010,Feb - June 2010,Feb - June 2010,Feb - June 2010,Feb - June 2010,1/1/2010 - 06/30/2010,1/1/2009 - 12/31/2009,1/1/2009 - 12/31/2009,1/1/2009 - 12/31/2009,1/1/2010 - 06/30/2010,1/1/2010 - 06/30/2010,1/1/2010 - 06/30/2010
,,,,C01,C02,C03,C04,C05,C06,C07,C08,C09,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C31,C32,C33,C34,C35,C36
Contract Number,Organization Type,Parent Organization,Organization Marketing Name,Breast Cancer Screening,Colorectal Cancer Screening,Cardiovascular Care - Cholesterol Screening,Diabetes Care - Cholesterol Screening,Glaucoma Testing,Appropriate Monitoring for Patients Taking Long Term Medications,Annual Flu Vaccine,Pneumonia Vaccine,Improving or Maintaining Physical Health,Improving or Maintaining Mental Health,Osteorporosis Testing,Monitoring Physical Activity,Access to Primary Care Doctor Visits,Osteoporosis Management in Women who had a Fracture,Diabetes Care – Eye Exam,Diabetes Care – Kidney Disease Monitoring,Diabetes Care – Blood Sugar Controlled,Diabetes Care – Cholesterol Controlled,Controlling Blood Pressure,Rheumatoid Arthritis Management,Testing to Confirm Chronic Obstructive Pulmonary Disease,Improving Bladder Control,Reducing the Risk of Falling,Getting Needed Care without Delays,Doctors who Communicate Well,Getting Appointments and Care Quickly,Customer Service,Overall Rating of Health Care Quality,Overall Rating of Plan,Complaints Tracking Module,Plan Makes Timely Decisions about Appeals,Reviewing Appeals Decisions,Corrective Action Plans,Call Center - Hold Time,Call Center - Information Accuracy,Call Center - Foreign Language interpreter and TTY/TDD availability
H0084,Local CCP,XLHealth Corporation,Care Improvement Plus,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,3 stars,4 stars,4 stars,5 stars
H0104,Local CCP,BlueCross BlueShield of Alabama,Blue Cross and Blue Shield of Alabama,2 stars,1 stars,1 stars,1 stars,4 stars,2 stars,2 stars,3 stars,4 stars,3 stars,4 stars,2 stars,4 stars,1 stars,3 stars,1 stars,2 stars,1 stars,2 stars,4 stars,2 stars,3 stars,2 stars,5 stars,3 stars,2 stars,Not enough data available to calculate measure,4 stars,4 stars,3 stars,4 stars,1 stars,"No data available (see footnote) Footnote: No information is shown because Medicare did not audit this plan during the previous year. This is neither good nor bad, because Medicare does not always audit plans every year.",2 stars,3 stars,2 stars
H0108,Local CCP,Humana Inc.,"Humana Health Plan of California, Inc.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H0117,Local CCP,"WellCare Health Plans, Inc.",WellCare,1 stars,2 stars,3 stars,3 stars,3 stars,3 stars,2 stars,2 stars,Not enough data available to calculate measure,Not enough data available to calculate measure,2 stars,1 stars,4 stars,Not enough data available to calculate measure,3 stars,4 stars,3 stars,2 stars,3 stars,Not enough data available to calculate measure,Not enough data available to calculate measure,2 stars,2 stars,1 stars,3 stars,2 stars,1 stars,1 stars,1 stars,2 stars,5 stars,3 stars,4 stars,5 stars,1 stars,5 stars
H0141,Local CCP,CareSource,CareSource,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,"No data available (see footnote) Footnote: No information is shown because Medicare did not audit this plan during the previous year. This is neither good nor bad, because Medicare does not always audit plans every year.",4 stars,5 stars,5 stars
H0150,Local CCP,"HealthSpring, Inc.","Healthspring of Alabama, Inc.",3 stars,3 stars,4 stars,3 stars,3 stars,4 stars,2 stars,2 stars,4 stars,2 stars,2 stars,1 stars,5 stars,1 stars,3 stars,5 stars,3 stars,3 stars,3 stars,2 stars,2 stars,2 stars,3 stars,4 stars,4 stars,2 stars,5 stars,3 stars,3 stars,4 stars,5 stars,3 stars,"No data available (see footnote) Footnote: No information is shown because Medicare did not audit this plan during the previous year. This is neither good nor bad, because Medicare does not always audit plans every year.",5 stars,4 stars,4 stars
H0151,Local CCP,"UnitedHealth Group, Inc.",SecureHorizons by UnitedHealthcare,2 stars,3 stars,4 stars,2 stars,3 stars,4 stars,2 stars,2 stars,5 stars,1 stars,2 stars,1 stars,4 stars,1 stars,3 stars,2 stars,3 stars,3 stars,2 stars,4 stars,2 stars,1 stars,4 stars,5 stars,4 stars,3 stars,3 stars,3 stars,4 stars,4 stars,5 stars,3 stars,2 stars,5 stars,4 stars,3 stars
