2015 Data View: Medicare Report Card Master Table,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CONTRACT_ID,Organization Type,Contract Name,Organization Marketing Name,Parent Organization,"HD1: Staying Healthy: Screenings, Tests and Vaccines",,,,,,,,HD2: Managing Chronic (Long Term) Conditions,,,,,,,,,,,,,,HD3: Member Experience with Health Plan,,,,,,HD4: Member Complaints and Changes in the Health Plan's Performance,,,HD5: Health Plan Customer Service,,DD1: Drug Plan Customer Service,,DD2: Member Complaints and Changes in the Drug Plan’s Performance,,,DD3: Member Experience with the Drug Plan,,DD4: Drug Safety and Accuracy of Drug Pricing,,,,,
,,,,,C01: Colorectal Cancer Screening,C02: Cardiovascular Care – Cholesterol Screening,C03: Diabetes Care – Cholesterol Screening,C04: Annual Flu Vaccine,C05: Improving or Maintaining Physical Health,C06: Improving or Maintaining Mental Health,C07: Monitoring Physical Activity,C08: Adult BMI Assessment,C09: Special Needs Plan (SNP) Care Management,C10: Care for Older Adults – Medication Review,C11: Care for Older Adults – Functional Status Assessment,C12: Care for Older Adults – Pain Assessment,C13: Osteoporosis Management in Women who had a Fracture,C14: Diabetes Care – Eye Exam,C15: Diabetes Care – Kidney Disease Monitoring,C16: Diabetes Care – Blood Sugar Controlled,C17: Diabetes Care – Cholesterol Controlled,C18: Controlling Blood Pressure,C19: Rheumatoid Arthritis Management,C20: Improving Bladder Control,C21: Reducing the Risk of Falling,C22: Plan All-Cause Readmissions,C23: Getting Needed Care,C24: Getting Appointments and Care Quickly,C25: Customer Service,C26: Rating of Health Care Quality,C27: Rating of Health Plan,C28: Care Coordination,C29: Complaints about the Health Plan,C30: Members Choosing to Leave the Plan,C31: Health Plan Quality Improvement,C32: Plan Makes Timely Decisions about Appeals,C33: Reviewing Appeals Decisions,D01: Appeals Auto–Forward,D02: Appeals Upheld,D03: Complaints about the Drug Plan,D04: Members Choosing to Leave the Plan,D05: Drug Plan Quality Improvement,D06: Rating of Drug Plan,D07: Getting Needed Prescription Drugs,D08: MPF Price Accuracy,D09: High Risk Medication,D10: Diabetes Treatment,D11: Medication Adherence for Diabetes Medications ,D12: Medication Adherence for Hypertension (RAS antagonists) ,D13: Medication Adherence for Cholesterol (Statins) 
,,,,,01/01/2013 - 12/31/2013,01/01/2013 - 12/31/2013,01/01/2013 - 12/31/2013,02/15/2014 - 05/31/2014,04/18/2013 - 07/31/2013,04/18/2013 - 07/31/2013,04/18/2013 - 07/31/2013,01/01/2013 - 12/31/2013,01/01/2013 - 12/31/2013,01/01/2013 - 12/31/2013,01/01/2013 - 12/31/2013,01/01/2013 - 12/31/2013,01/01/2013 - 12/31/2013,01/01/2013 - 12/31/2013,01/01/2013 - 12/31/2013,01/01/2013 - 12/31/2013,01/01/2013 - 12/31/2013,01/01/2013 - 12/31/2013,01/01/2013 - 12/31/2013,04/18/2013 - 07/31/2013,04/18/2013 - 07/31/2013,01/01/2013 - 12/31/2013,02/15/2014 - 05/31/2014,02/15/2014 - 05/31/2014,02/15/2014 - 05/31/2014,02/15/2014 - 05/31/2014,02/15/2014 - 05/31/2014,02/15/2014 - 05/31/2014,01/01/2014 - 06/30/2014,01/01/2013 - 12/31/2013,Not Applicable,01/01/2013 - 12/31/2013,01/01/2013 - 12/31/2013,01/01/2013 - 12/31/2013,01/01/2014 - 06/30/2014,01/01/2014 - 06/30/2014,01/01/2013 - 12/31/2013,Not Applicable,02/15/2014 - 05/31/2014,02/15/2014 - 05/31/2014,01/01/2013 - 09/30/2013,01/01/2013 - 12/31/2013,01/01/2013 - 12/31/2013,01/01/2013 - 12/31/2013,01/01/2013 - 12/31/2013,01/01/2013 - 12/31/2013
E0654,Employer/Union Only Direct Contract PDP,IBT VOLUNTARY EMPLOYEE BENEFITS TRUST,TEAMStar Medicare Part D Prescription Drug Program,IBT Voluntary Employee Benefits Trust,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,1.2,Not enough data available,0.07,Not enough data available,Medicare shows only a Star Rating for this topic,87%,92%,No data available,14%,81%,80%,82%,77%
E2630,Employer/Union Only Direct Contract PDP,C AND O EMPLOYEES' HOSPITAL ASSOCIATION,C and O Employees Hospital Association,C & O Employees' Hospital Association,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,0.0,No data available,0.00,Not enough data available,Medicare shows only a Star Rating for this topic,88%,92%,No data available,9%,78%,80%,82%,78%
E3014,Employer/Union Only Direct Contract PDP,PSERS HOP PROGRAM,Pennsylvania Public School Employees Retirement Sy,Commonwealth of PA Pub Schools Retirement System,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,1.2,78%,0.01,Not enough data available,Medicare shows only a Star Rating for this topic,89%,93%,No data available,10%,81%,82%,85%,80%
E4744,Employer/Union Only Direct Contract PDP,MODOT/MSHP MEDICAL AND LIFE INSURANCE PLAN,MISSOURI DEPARTMENT OF TRANSPORTATION,Missouri Highways and Transportation Commission,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,6.9,40%,0.03,Not enough data available,Medicare shows only a Star Rating for this topic,84%,92%,No data available,13%,82%,83%,83%,81%
E7316,Employer/Union Only Direct Contract PDP,UNION PACIFIC RAILROAD EMPLOYES HEALTH SYSTEMS,Union Pacific Railroad  Employes Health Systems,Union Pacific Railroad Employes Health Systems,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,0.8,No data available,0.03,Not enough data available,Medicare shows only a Star Rating for this topic,88%,89%,No data available,13%,81%,70%,73%,70%
E7848,Employer/Union Only Direct Contract PDP,OMES EMPLOYEES GROUP INSURANCE DIVISION,HealthChoice,State of Oklahoma,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,0.6,Not enough data available,0.03,Not enough data available,Medicare shows only a Star Rating for this topic,86%,90%,No data available,21%,83%,80%,82%,78%
H0022,Demo,"BUCKEYE COMMUNITY HEALTH PLAN, INC.",Buckeye Health Plan - MyCare Ohio,Centene Corporation,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Not enough data available,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,No data available,Not enough data available,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H0028,Local CCP,"CHA HMO, INC.","CHA HMO, Inc.",Humana Inc.,Not enough data available,Not enough data available,91%,79%,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Not enough data available,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Not enough data available,74%,94%,74%,56%,71%,Not enough data available,Plan too new to be measured,Plan too new to be measured,4%,84%,78%,82%,86%,83%,86%,1.30,27%,Not enough data available,94%,Not enough data available,2.9,No data available,1.30,27%,Not enough data available,84%,89%,98,5%,90%,79%,82%,78%
