2012 Part C Performance Metrics Threshold for Star Assignments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Staying Healthy: Screenings, Tests and Vaccines",,,,,,,,,,,,Managing Chronic (Long Term) Conditions,,,,,,,,,,,,,Ratings of Plan Responsiveness and Care,,,,,"Member Complaints, Problems Getting Services, and Choosing to Leave the Plan",,,Health Plan Customer Service,,
,1/1/2010 - 12/31/2010,1/1/2010 - 12/31/2010,1/1/2010 - 12/31/2010,1/1/2010 - 12/31/2010,1/1/2010 - 12/31/2010,Feb - June 2011,Feb - June 2011,Apr - Aug 2010,Apr - Aug 2010,Apr - Aug 2010,1/1/2010 - 12/31/2010,1/1/2010 - 12/31/2010,1/1/2010 - 12/31/2010,1/1/2010 - 12/31/2010,1/1/2010 - 12/31/2010,1/1/2010 - 12/31/2010,1/1/2010 - 12/31/2010,1/1/2010 - 12/31/2010,1/1/2010 - 12/31/2010,1/1/2010 - 12/31/2010,1/1/2010 - 12/31/2010,1/1/2010 - 12/31/2010,Apr - Aug 2010,Apr - Aug 2010,1/1/2010 - 12/31/2010,Feb - June 2011,Feb - June 2011,Feb - June 2011,Feb - June 2011,Feb - June 2011,1/1/2011 - 06/30/2011,1/1/2010 - 12/31/2010,1/1/2010 - 12/31/2010,1/1/2010 - 12/31/2010,1/1/2010 - 12/31/2010,01/31/2011 - 05/20/2011 (Monday - Friday)
,C01,C02,C03,C04,C05,C06,C07,C08,C09,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C31,C32,C33,C34,C35,C36
Number of Stars Displayed on the Plan Finder Tool,Breast Cancer Screening,Colorectal Cancer Screening,Cardiovascular Care – Cholesterol Screening,Diabetes Care – Cholesterol Screening,Glaucoma Testing,Annual Flu Vaccine,Pneumonia Vaccine,Improving or Maintaining Physical Health,Improving or Maintaining Mental Health,Monitoring Physical Activity,Access to Primary Care Doctor Visits,Adult BMI Assessment,Care for Older Adults – Medication Review,Care for Older Adults – Functional Status Assessment,Care for Older Adults – Pain Screening,Osteoporosis Management in Women who had a Fracture,Diabetes Care – Eye Exam,Diabetes Care – Kidney Disease Monitoring,Diabetes Care – Blood Sugar Controlled,Diabetes Care – Cholesterol Controlled,Controlling Blood Pressure,Rheumatoid Arthritis Management,Improving Bladder Control,Reducing the Risk of Falling,Plan All-Cause Readmissions,Getting Needed Care,Getting Appointments and Care Quickly,Customer Service,Overall Rating of Health Care Quality,Overall Rating of Plan,Complaints about the Health Plan,Beneficiary Access and Performance Problems,Members Choosing to Leave the Plan,Plan Makes Timely Decisions about Appeals,Reviewing Appeals Decisions,Call Center – Foreign Language Interpreter and TTY/TDD Availability
1 Star,< 49%,< 37%,< 77%,< 77%,< 49%,< 60%,< 57%,< 54%,< 75%,< 47%,< 73%,< 27%,< 24%,< 22%,< 24%,< 14%,< 46%,< 74%,< 43%,< 20%,< 29%,< 54%,< 34%,< 48%,> 32%,< 81%,< 71%,< 84%,< 83%,< 82%,> 0.68,? 20,> 19%,< 57%,< 63%,< 37%
2 Stars,? 49% to < 64%,? 37% to < 47%,? 77% to < 81%,? 77% to < 81%,? 49% to < 57%,? 60% to < 65%,? 57% to < 64%,? 54% to < 56%,? 75% to < 80%,? 47% to < 51%,? 73% to < 79%,? 27% to < 42%,? 24% to < 45%,? 22% to < 43%,? 24% to < 34%,? 14% to < 24%,? 46% to < 54%,? 74% to < 83%,? 43% to < 60%,? 20% to < 43%,? 29% to < 49%,? 54% to < 71%,? 34% to < 41%,? 48% to < 55%,> 17% to ? 32%,? 81% to ? 83%,? 71% to < 73%,? 84% to < 86%,? 83% to ? 84%,? 82% to < 84%,> 0.49 to ? 0.68,> 20 to ? 40,> 15% to ? 19%,? 57% to < 71%,? 63% to < 75%,? 37% to < 68%
3 Stars,? 64% to < 74%,? 47% to < 58%,? 81% to < 85%,? 81% to < 85%,? 57% to < 70%,? 65% to < 71%,? 64% to < 70%,? 56% to < 60%,? 80% to < 85%,? 51% to < 60%,? 79% to < 85%,? 42% to < 61%,? 45% to < 67%,? 43% to < 62%,? 34% to < 59%,? 24% to < 60%,? 54% to < 64%,? 83% to < 85%,? 60% to < 80%,? 43% to < 53%,? 49% to < 63%,? 71% to < 78%,? 41% to < 60%,? 55% to < 59%,> 12% to ? 17%,> 83% to < 85%,? 73% to < 75%,? 86% to < 88%,*,? 84% to < 85%,> 0.28 to ? 0.49,> 40 to ? 60,> 11% to ? 15%,? 71% to < 85%,? 75% to < 87%,? 68% to < 78%
4 Star Threshold,? 74%,? 58%,? 85%,? 85%,? 70%,? 71%,? 70%,? 60%,? 85%,? 60%,? 85%,Not predetermined,Not predetermined,Not predetermined,Not predetermined,? 60%,? 64%,? 85%,? 80%,? 53%,? 63%,? 78%,? 60%,? 59%,Not predetermined,? 85%,? 75%,? 88%,? 85%,? 85%,Not predetermined,Not predetermined,Not predetermined,? 85%,? 87%,? 78%
4 Stars,? 74% to < 80%,? 58% to < 66%,? 85% to < 91%,? 85% to < 90%,? 70% to < 78%,? 71% to < 76%,? 70% to < 78%,? 60% to < 68%,? 85% to < 88%,? 60% to < 80%,? 85% to < 96%,? 61% to < 73%,? 67% to < 82%,? 62% to < 78%,? 59% to < 87%,? 60% to < 67%,? 64% to < 73%,? 85% to < 89%,? 80% to < 88%,? 53% to < 66%,? 63% to < 71%,? 78% to < 84%,? 60% to < 80%,? 59% to < 76%,> 5% to ? 12%,? 85% to < 87%,? 75% to < 79%,? 88% to < 90%,? 85% to < 88%,? 85% to < 88%,> 0.17 to ? 0.28,> 60 to ? 80,> 7% to ? 11%,? 85% to < 91%,? 87% to < 92%,? 78% to < 87%
5 Stars,? 80%,? 66%,? 91%,? 90%,? 78%,? 76%,? 78%,? 68%,? 88%,? 80%,? 96%,? 73%,? 82%,? 78%,? 87%,? 67%,? 73%,? 89%,? 88%,? 66%,? 71%,? 84%,? 80%,? 76%,? 5%,? 87%,? 79%,? 90%,? 88%,? 88%,? 0.17,> 80,? 7%,? 91%,? 92%,? 87%
