2012 Data View: Medicare Part C Report Card Master Table,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Staying Healthy: Screenings, Tests and Vaccines",,,,,,,,,,,,Managing Chronic (Long Term) Conditions,,,,,,,,,,,,,Ratings of Plan Responsiveness and Care,,,,,"Member Complaints, Problems Getting Services, and Choosing to Leave the Plan",,,Health Plan Customer Service,,
,,,,1/1/2010 - 12/31/2010,1/1/2010 - 12/31/2010,1/1/2010 - 12/31/2010,1/1/2010 - 12/31/2010,1/1/2010 - 12/31/2010,Feb - June 2011,Feb - June 2011,Apr - Aug 2010,Apr - Aug 2010,Apr - Aug 2010,1/1/2010 - 12/31/2010,1/1/2010 - 12/31/2010,1/1/2010 - 12/31/2010,1/1/2010 - 12/31/2010,1/1/2010 - 12/31/2010,1/1/2010 - 12/31/2010,1/1/2010 - 12/31/2010,1/1/2010 - 12/31/2010,1/1/2010 - 12/31/2010,1/1/2010 - 12/31/2010,1/1/2010 - 12/31/2010,1/1/2010 - 12/31/2010,Apr - Aug 2010,Apr - Aug 2010,1/1/2010 - 12/31/2010,Feb - June 2011,Feb - June 2011,Feb - June 2011,Feb - June 2011,Feb - June 2011,1/1/2011 - 06/30/2011,1/1/2010 - 12/31/2010,1/1/2010 - 12/31/2010,1/1/2010 - 12/31/2010,1/1/2010 - 12/31/2010,01/31/2011 - 05/20/2011 (Monday - Friday)
,,,,C01,C02,C03,C04,C05,C06,C07,C08,C09,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C31,C32,C33,C34,C35,C36
Contract Number,Organization Type,Parent Organization,Organization Marketing Name,Breast Cancer Screening,Colorectal Cancer Screening,Cardiovascular Care – Cholesterol Screening,Diabetes Care – Cholesterol Screening,Glaucoma Testing,Annual Flu Vaccine,Pneumonia Vaccine,Improving or Maintaining Physical Health,Improving or Maintaining Mental Health,Monitoring Physical Activity,Access to Primary Care Doctor Visits,Adult BMI Assessment,Care for Older Adults – Medication Review,Care for Older Adults – Functional Status Assessment,Care for Older Adults – Pain Screening,Osteoporosis Management in Women who had a Fracture,Diabetes Care – Eye Exam,Diabetes Care – Kidney Disease Monitoring,Diabetes Care – Blood Sugar Controlled,Diabetes Care – Cholesterol Controlled,Controlling Blood Pressure,Rheumatoid Arthritis Management,Improving Bladder Control,Reducing the Risk of Falling,Plan All-Cause Readmissions,Getting Needed Care,Getting Appointments and Care Quickly,Customer Service,Overall Rating of Health Care Quality,Overall Rating of Plan,Complaints about the Health Plan,Beneficiary Access and Performance Problems,Members Choosing to Leave the Plan,Plan Makes Timely Decisions about Appeals,Reviewing Appeals Decisions,Call Center – Foreign Language Interpreter and TTY/TDD Availability
H0084,Local CCP,XLHealth Corporation,Care Improvement Plus,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,61,60,Plan too new to be measured,Plan too new to be measured,No data available,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,No data available,No data available,Plan too small to be measured,83,74,87,83,81,1.30,60,29,Not enough data available to calculate measure,Not enough data available to calculate measure,79
H0104,Local CCP,BlueCross BlueShield of Alabama,Blue Cross and Blue Shield of Alabama,69,37,85,85,74,66,66,64,77,46,97,3,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,21,58,81,36,41,43,84,31,54,13,89,73,86,85,81,0.86,80,22,95,44,80
H0108,Local CCP,Humana Inc.,"Humana Health Plan of California, Inc.",Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too new to be measured,Plan too new to be measured,No data available,Plan too small to be measured,Plan too small to be measured,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,No data available,No data available,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,2.54,100,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,84
H0117,Local CCP,"WellCare Health Plans, Inc.",WellCare,60,43,92,82,59,64,63,Plan too new to be measured,Plan too new to be measured,46,92,37,62,37,41,Not enough data available to calculate measure,52,83,54,37,53,75,35,62,13,82,76,83,82,77,0.52,60,19,Not enough data available to calculate measure,Not enough data available to calculate measure,78
H0141,Local CCP,CareSource,CareSource,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too new to be measured,Plan too new to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,72,21,54,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Not enough data available to calculate measure,80,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure
H0150,Local CCP,"HealthSpring, Inc.","Healthspring of Alabama, Inc.",75,67,88,86,62,70,70,62,69,43,95,36,84,84,81,19,54,91,71,46,51,71,33,64,13,85,73,90,87,88,0.22,44,12,98,78,85
H0151,Local CCP,"UnitedHealth Group, Inc.",UnitedHealthcare,60,55,82,76,59,66,69,63,78,41,93,21,57,32,12,14,58,87,65,39,59,76,33,61,11,88,75,85,87,88,0.19,40,10,80,78,83
H0154,Local CCP,UAB Health System,VIVA Medicare Plus,69,57,90,86,65,65,66,68,75,49,95,16,61,32,21,17,58,85,69,54,73,83,34,62,12,88,73,91,87,89,0.14,100,6,100,84,88
H0248,Local CCP,Humana Inc.,Humana Insurance Company,58,34,93,90,75,74,70,Plan too new to be measured,Plan too new to be measured,53,94,28,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Not enough data available to calculate measure,67,83,55,46,41,Not enough data available to calculate measure,39,66,12,83,76,82,87,84,0.51,100,12,100,60,84
H0251,Local CCP,"UnitedHealth Group, Inc.",UnitedHealthcare Community Plan,53,38,82,81,39,52,57,67,78,34,93,38,64,26,35,16,43,84,67,37,60,64,29,62,13,87,73,88,83,85,0.49,60,13,64,68,Not enough data available to calculate measure
