2012 Domain Star View: Medicare Part C Report Card Master Table,,,,,,,,
Contract Number,Organization Type,Parent Organization,Organization Marketing Name,"Staying Healthy: Screenings, Tests and Vaccines",Managing Chronic (Long Term) Conditions,Ratings of Plan Responsiveness and Care,"Health Plan Members’ Complaints, Appeals, and Choosing to Leave the Health Plan",Health Plan Customer Service
H0084,Local CCP,XLHealth Corporation,Care Improvement Plus,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,2 out of 5 stars,2 out of 5 stars,Not enough data to calculate stars for this category
H0104,Local CCP,BlueCross BlueShield of Alabama,Blue Cross and Blue Shield of Alabama,3 out of 5 stars,2 out of 5 stars,3 out of 5 stars,2 out of 5 stars,3 out of 5 stars
H0108,Local CCP,Humana Inc.,"Humana Health Plan of California, Inc.",Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,3 out of 5 stars,Not enough data to calculate stars for this category
H0117,Local CCP,"WellCare Health Plans, Inc.",WellCare,3 out of 5 stars,3 out of 5 stars,2 out of 5 stars,2 out of 5 stars,Not enough data to calculate stars for this category
H0141,Local CCP,CareSource,CareSource,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category,Not enough data to calculate stars for this category
H0150,Local CCP,"HealthSpring, Inc.","Healthspring of Alabama, Inc.",3 out of 5 stars,3 out of 5 stars,4 out of 5 stars,3 out of 5 stars,4 out of 5 stars
H0151,Local CCP,"UnitedHealth Group, Inc.",UnitedHealthcare,3 out of 5 stars,3 out of 5 stars,4 out of 5 stars,3 out of 5 stars,3 out of 5 stars
H0154,Local CCP,UAB Health System,VIVA Medicare Plus,3 out of 5 stars,3 out of 5 stars,4 out of 5 stars,5 stars,4 out of 5 stars
H0248,Local CCP,Humana Inc.,Humana Insurance Company,4 out of 5 stars,3 out of 5 stars,3 out of 5 stars,3 out of 5 stars,3 out of 5 stars
H0251,Local CCP,"UnitedHealth Group, Inc.",UnitedHealthcare Community Plan,2 out of 5 stars,3 out of 5 stars,4 out of 5 stars,3 out of 5 stars,2 out of 5 stars
H0294,Local CCP,XLHealth Corporation,Care Improvement Plus,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H0302,Local CCP,Banner Health,Banner MediSun,4 out of 5 stars,3 out of 5 stars,4 out of 5 stars,5 stars,4 out of 5 stars
H0303,Local CCP,"UnitedHealth Group, Inc.",UnitedHealthcare,4 out of 5 stars,4 out of 5 stars,3 out of 5 stars,3 out of 5 stars,4 out of 5 stars
H0307,Local CCP,Humana Inc.,"Humana Health Plan, Inc.",3 out of 5 stars,3 out of 5 stars,3 out of 5 stars,3 out of 5 stars,4 out of 5 stars
H0316,Local CCP,"UnitedHealth Group, Inc.",UnitedHealthcare,3 out of 5 stars,4 out of 5 stars,3 out of 5 stars,3 out of 5 stars,4 out of 5 stars
H0317,Local CCP,Humana Inc.,Humana Insurance Company,4 out of 5 stars,3 out of 5 stars,3 out of 5 stars,3 out of 5 stars,4 out of 5 stars
H0318,Local CCP,Aetna Inc.,Aetna Medicare,3 out of 5 stars,4 out of 5 stars,2 out of 5 stars,1 out of 5 stars,Not enough data to calculate stars for this category
