2012 Data View: Medicare Part C Report Card Master Table,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Staying Healthy: Screenings, Tests and Vaccines",,,,,,,,,,,,Managing Chronic (Long Term) Conditions,,,,,,,,,,,,,Ratings of Plan Responsiveness and Care,,,,,"Member Complaints, Problems Getting Services, and Choosing to Leave the Plan",,,Health Plan Customer Service,,
,,,,1/1/2010 - 12/31/2010,1/1/2010 - 12/31/2010,1/1/2010 - 12/31/2010,1/1/2010 - 12/31/2010,1/1/2010 - 12/31/2010,Feb - June 2011,Feb - June 2011,Apr - Aug 2010,Apr - Aug 2010,Apr - Aug 2010,1/1/2010 - 12/31/2010,1/1/2010 - 12/31/2010,1/1/2010 - 12/31/2010,1/1/2010 - 12/31/2010,1/1/2010 - 12/31/2010,1/1/2010 - 12/31/2010,1/1/2010 - 12/31/2010,1/1/2010 - 12/31/2010,1/1/2010 - 12/31/2010,1/1/2010 - 12/31/2010,1/1/2010 - 12/31/2010,1/1/2010 - 12/31/2010,Apr - Aug 2010,Apr - Aug 2010,1/1/2010 - 12/31/2010,Feb - June 2011,Feb - June 2011,Feb - June 2011,Feb - June 2011,Feb - June 2011,1/1/2011 - 06/30/2011,1/1/2010 - 12/31/2010,1/1/2010 - 12/31/2010,1/1/2010 - 12/31/2010,1/1/2010 - 12/31/2010,01/31/2011 - 05/20/2011 (Monday - Friday)
,,,,C01,C02,C03,C04,C05,C06,C07,C08,C09,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C31,C32,C33,C34,C35,C36
Contract Number,Organization Type,Parent Organization,Organization Marketing Name,Breast Cancer Screening,Colorectal Cancer Screening,Cardiovascular Care – Cholesterol Screening,Diabetes Care – Cholesterol Screening,Glaucoma Testing,Annual Flu Vaccine,Pneumonia Vaccine,Improving or Maintaining Physical Health,Improving or Maintaining Mental Health,Monitoring Physical Activity,Access to Primary Care Doctor Visits,Adult BMI Assessment,Care for Older Adults – Medication Review,Care for Older Adults – Functional Status Assessment,Care for Older Adults – Pain Screening,Osteoporosis Management in Women who had a Fracture,Diabetes Care – Eye Exam,Diabetes Care – Kidney Disease Monitoring,Diabetes Care – Blood Sugar Controlled,Diabetes Care – Cholesterol Controlled,Controlling Blood Pressure,Rheumatoid Arthritis Management,Improving Bladder Control,Reducing the Risk of Falling,Plan All-Cause Readmissions,Getting Needed Care,Getting Appointments and Care Quickly,Customer Service,Overall Rating of Health Care Quality,Overall Rating of Plan,Complaints about the Health Plan,Beneficiary Access and Performance Problems,Members Choosing to Leave the Plan,Plan Makes Timely Decisions about Appeals,Reviewing Appeals Decisions,Call Center – Foreign Language Interpreter and TTY/TDD Availability
H0084,Local CCP,XLHealth Corporation,Care Improvement Plus,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,2,2,Plan too new to be measured,Plan too new to be measured,No data available,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,No data available,No data available,Plan too small to be measured,3,3,3,2,1,1,3,1,Not enough data available to calculate measure,Not enough data available to calculate measure,4
H0104,Local CCP,BlueCross BlueShield of Alabama,Blue Cross and Blue Shield of Alabama,3,2,4,4,4,3,3,4,2,1,5,1,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,2,3,2,1,2,2,5,1,2,3,5,2,3,4,1,1,4,1,5,1,4
H0108,Local CCP,Humana Inc.,"Humana Health Plan of California, Inc.",Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too new to be measured,Plan too new to be measured,No data available,Plan too small to be measured,Plan too small to be measured,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,No data available,No data available,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,1,5,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,4
H0117,Local CCP,"WellCare Health Plans, Inc.",WellCare,2,2,5,3,3,2,2,Plan too new to be measured,Plan too new to be measured,1,4,2,3,2,3,Not enough data available to calculate measure,2,3,2,2,3,3,2,4,3,2,4,1,2,1,2,3,2,Not enough data available to calculate measure,Not enough data available to calculate measure,4
H0141,Local CCP,CareSource,CareSource,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too new to be measured,Plan too new to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,4,1,3,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Not enough data available to calculate measure,4,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure,Not enough data available to calculate measure
H0150,Local CCP,"HealthSpring, Inc.","Healthspring of Alabama, Inc.",4,5,4,4,3,3,4,4,1,1,4,2,5,5,4,2,3,5,3,3,3,3,1,4,3,4,2,4,4,4,4,3,3,5,3,4
H0151,Local CCP,"UnitedHealth Group, Inc.",UnitedHealthcare,2,3,3,1,3,3,3,4,2,1,4,1,3,2,1,2,3,4,3,2,3,3,1,4,4,4,4,2,4,4,4,2,4,3,3,4
H0154,Local CCP,UAB Health System,VIVA Medicare Plus,3,3,4,4,3,2,3,5,2,2,4,1,3,2,1,2,3,4,3,4,5,4,2,4,4,4,2,5,4,5,5,5,5,5,3,5
H0248,Local CCP,Humana Inc.,Humana Insurance Company,2,1,5,5,4,4,4,Plan too new to be measured,Plan too new to be measured,3,4,2,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Not enough data available to calculate measure,4,3,2,3,2,Not enough data available to calculate measure,2,4,4,2,4,1,4,3,2,5,3,5,1,4
H0251,Local CCP,"UnitedHealth Group, Inc.",UnitedHealthcare Community Plan,2,2,3,3,1,1,2,4,2,1,4,2,3,2,3,2,1,3,3,2,3,2,1,4,3,4,3,4,3,4,3,3,3,2,2,Not enough data available to calculate measure
