2013 Data View: Medicare Part C Report Card Master Table,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Medicare Part C Report Card Master Table ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Contract Number,Organization Type,Contract Name,Organization Marketing Name,Parent Organization,"Staying Healthy: Screenings, Tests, and Vaccines",,,,,,,,,,Managing Chronic (Long Term) Conditions,,,,,,,,,,,,,Member Experience with Health Plan,,,,,,"Member Complaints, Problems Getting Services, and Improvement in the Health Plan’s Performance",,,,Health Plan Customer Service,,,
,,,,,C01: Breast Cancer Screening,C02: Colorectal Cancer Screening,C03: Cardiovascular Care – Cholesterol Screening,C04: Diabetes Care – Cholesterol Screening,C05: Glaucoma Testing,C06: Annual Flu Vaccine,C07: Improving or Maintaining Physical Health,C08: Improving or Maintaining Mental Health,C09: Monitoring Physical Activity,C10: Adult BMI Assessment,C11: Care for Older Adults – Medication Review,C12: Care for Older Adults – Functional Status Assessment,C13: Care for Older Adults – Pain Screening,C14: Osteoporosis Management in Women who had a Fracture,C15: Diabetes Care – Eye Exam,C16: Diabetes Care – Kidney Disease Monitoring,C17: Diabetes Care – Blood Sugar Controlled,C18: Diabetes Care – Cholesterol Controlled,C19: Controlling Blood Pressure,C20: Rheumatoid Arthritis Management,C21: Improving Bladder Control,C22: Reducing the Risk of Falling,C23: Plan All-Cause Readmissions,C24: Getting Needed Care,C25: Getting Appointments and Care Quickly,C26: Customer Service,C27: Overall Rating of Health Care Quality,C28: Overall Rating of Plan,C29: Care Coordination,C30: Complaints about the Health Plan,C31: Beneficiary Access and Performance Problems,C32: Members Choosing to Leave the Plan,C33: Improvement,C34: Plan Makes Timely Decisions about Appeals,C35: Reviewing Appeals Decisions,C36: Call Center – Foreign Language Interpreter and TTY/TDD Availability,C37: Enrollment Timeliness
,,,,,01/01/2011 - 12/31/2011,01/01/2011 - 12/31/2011,01/01/2011 - 12/31/2011,01/01/2011 - 12/31/2011,01/01/2011 - 12/31/2011,02/01/2012 - 06/30/2012,Apr 2011 - Aug 2011,Apr 2011 - Aug 2011,Apr 2011 - Aug 2011,01/01/2011 - 12/31/2011,01/01/2011 - 12/31/2011,01/01/2011 - 12/31/2011,01/01/2011 - 12/31/2011,01/01/2011 - 12/31/2011,01/01/2011 - 12/31/2011,01/01/2011 - 12/31/2011,01/01/2011 - 12/31/2011,01/01/2011 - 12/31/2011,01/01/2011 - 12/31/2011,01/01/2011 - 12/31/2011,Apr 2011 - Aug 2011,Apr 2011 - Aug 2011,01/01/2011 - 12/31/2011,02/01/2012 - 06/30/2012,02/01/2012 - 06/30/2012,02/01/2012 - 06/30/2012,02/01/2012 - 06/30/2012,02/01/2012 - 06/30/2012,02/01/2012 - 06/30/2012,1/1/2012 - 06/30/2012,01/01/2011 - 12/31/2011,01/01/2011 - 12/31/2011,01/01/2011 - 12/31/2011,01/01/2011 - 12/31/2011,01/01/2011 - 12/31/2011,01/30/2012 - 05/18/2012 (Monday - Friday),01/01/2012 – 06/30/2012
H0028,Local CCP,"CHA HMO, INC.","CHA HMO, Inc.",Humana Inc.,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H0084,Local CCP,CARE IMPROVEMENT PLUS OF TEXAS INSURANCE COMPANY,Care Improvement Plus,"UnitedHealth Group, Inc.",47,32,81,78,60,62,Plan too new to be measured,Plan too new to be measured,41,70,No data available,No data available,No data available,Not enough data available,34,84,60,39,48,Not enough data available,34,54,23,86,74,87,85,81,85,0.89,100,24,Not enough data available,Not enough data available,Not enough data available,91,91
H0104,Local CCP,BLUE CROSS AND BLUE SHIELD OF ALABAMA,Blue Cross and Blue Shield of Alabama,BlueCross BlueShield of Alabama,70,53,90,85,66,67,68,78,43,41,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,20,48,84,59,42,52,82,39,53,11,88,73,89,87,85,86,0.17,80,14,Medicare shows only a star rating for this topic,79,53,80,92
H0108,Local CCP,"HUMANA HEALTH PLAN OF CALIFORNIA, INC.","Humana Health Plan of California, Inc.",Humana Inc.,69,46,92,87,48,64,Plan too new to be measured,Plan too new to be measured,48,48,No data available,No data available,No data available,Not enough data available,41,89,66,55,46,79,28,62,3,80,70,81,83,81,79,0.99,67,16,Not enough data available,96,Not enough data available,98,96
H0117,Local CCP,"WELLCARE OF OHIO, INC.",WellCare,"WellCare Health Plans, Inc.",63,49,88,86,64,66,67,72,44,58,65,41,57,Not enough data available,57,90,55,37,52,66,27,61,17,82,78,84,84,81,86,0.62,80,18,Medicare shows only a star rating for this topic,92,91,84,98
H0141,Local CCP,CARESOURCE MICHIGAN,CareSource,CareSource Management Group Co.,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,No data available,Plan too small to be measured,73,34,36,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,No data available,No data available,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Not enough data available,80,Not enough data available,Not enough data available,Not enough data available,Not enough data available,86,Not enough data available
H0150,Local CCP,"HEALTHSPRING OF ALABAMA, INC.","Healthspring of Alabama, Inc.",CIGNA,77,78,90,86,63,65,67,74,39,75,89,90,87,25,59,91,73,45,60,78,26,63,13,90,73,89,88,89,86,0.26,80,8,Medicare shows only a star rating for this topic,92,91,96,92
H0151,Local CCP,"UNITEDHEALTHCARE OF ALABAMA, INC.",UnitedHealthcare,"UnitedHealth Group, Inc.",57,53,87,82,57,61,65,75,41,25,57,34,36,14,54,85,60,42,53,75,32,58,13,84,74,86,87,86,85,0.24,0,9,Medicare shows only a star rating for this topic,72,85,94,97
H0154,Local CCP,"VIVA HEALTH, INC.",VIVA Medicare Plus,UAB Health System,74,66,87,86,65,70,67,76,47,73,87,84,87,18,64,89,80,53,71,80,33,63,13,88,73,88,85,87,86,0.15,80,7,Medicare shows only a star rating for this topic,74,83,97,96
