2013 Star View: Medicare Part C Report Card Master Table,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Medicare Part C Report Card Master Table ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Contract Number,Organization Type,Contract Name,Organization Marketing Name,Parent Organization,"Staying Healthy: Screenings, Tests, and Vaccines",,,,,,,,,,Managing Chronic (Long Term) Conditions,,,,,,,,,,,,,Member Experience with Health Plan,,,,,,"Member Complaints, Problems Getting Services, and Improvement in the Health Plan’s Performance",,,,Health Plan Customer Service,,,
,,,,,C01: Breast Cancer Screening,C02: Colorectal Cancer Screening,C03: Cardiovascular Care – Cholesterol Screening,C04: Diabetes Care – Cholesterol Screening,C05: Glaucoma Testing,C06: Annual Flu Vaccine,C07: Improving or Maintaining Physical Health,C08: Improving or Maintaining Mental Health,C09: Monitoring Physical Activity,C10: Adult BMI Assessment,C11: Care for Older Adults – Medication Review,C12: Care for Older Adults – Functional Status Assessment,C13: Care for Older Adults – Pain Screening,C14: Osteoporosis Management in Women who had a Fracture,C15: Diabetes Care – Eye Exam,C16: Diabetes Care – Kidney Disease Monitoring,C17: Diabetes Care – Blood Sugar Controlled,C18: Diabetes Care – Cholesterol Controlled,C19: Controlling Blood Pressure,C20: Rheumatoid Arthritis Management,C21: Improving Bladder Control,C22: Reducing the Risk of Falling,C23: Plan All-Cause Readmissions,C24: Getting Needed Care,C25: Getting Appointments and Care Quickly,C26: Customer Service,C27: Overall Rating of Health Care Quality,C28: Overall Rating of Plan,C29: Care Coordination,C30: Complaints about the Health Plan,C31: Beneficiary Access and Performance Problems,C32: Members Choosing to Leave the Plan,C33: Improvement,C34: Plan Makes Timely Decisions about Appeals,C35: Reviewing Appeals Decisions,C36: Call Center – Foreign Language Interpreter and TTY/TDD Availability,C37: Enrollment Timeliness
,,,,,01/01/2011 - 12/31/2011,01/01/2011 - 12/31/2011,01/01/2011 - 12/31/2011,01/01/2011 - 12/31/2011,01/01/2011 - 12/31/2011,02/01/2012 - 06/30/2012,Apr 2011 - Aug 2011,Apr 2011 - Aug 2011,Apr 2011 - Aug 2011,01/01/2011 - 12/31/2011,01/01/2011 - 12/31/2011,01/01/2011 - 12/31/2011,01/01/2011 - 12/31/2011,01/01/2011 - 12/31/2011,01/01/2011 - 12/31/2011,01/01/2011 - 12/31/2011,01/01/2011 - 12/31/2011,01/01/2011 - 12/31/2011,01/01/2011 - 12/31/2011,01/01/2011 - 12/31/2011,Apr 2011 - Aug 2011,Apr 2011 - Aug 2011,01/01/2011 - 12/31/2011,02/01/2012 - 06/30/2012,02/01/2012 - 06/30/2012,02/01/2012 - 06/30/2012,02/01/2012 - 06/30/2012,02/01/2012 - 06/30/2012,02/01/2012 - 06/30/2012,1/1/2012 - 06/30/2012,01/01/2011 - 12/31/2011,01/01/2011 - 12/31/2011,01/01/2011 - 12/31/2011,01/01/2011 - 12/31/2011,01/01/2011 - 12/31/2011,01/30/2012 - 05/18/2012 (Monday - Friday),01/01/2012 – 06/30/2012
H0028,Local CCP,"CHA HMO, INC.","CHA HMO, Inc.",Humana Inc.,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H0084,Local CCP,CARE IMPROVEMENT PLUS OF TEXAS INSURANCE COMPANY,Care Improvement Plus,"UnitedHealth Group, Inc.",2,1,3,2,2,2,Plan too new to be measured,Plan too new to be measured,1,4,No data available,No data available,No data available,Not enough data available,1,3,2,2,2,Not enough data available,2,3,1,4,3,3,4,1,3,1,5,1,Not enough data available,Not enough data available,Not enough data available,5,4
H0104,Local CCP,BLUE CROSS AND BLUE SHIELD OF ALABAMA,Blue Cross and Blue Shield of Alabama,BlueCross BlueShield of Alabama,3,3,5,4,3,3,5,2,1,2,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,1,2,3,2,2,2,4,3,3,4,4,2,4,4,4,4,4,4,3,5,3,1,3,4
H0108,Local CCP,"HUMANA HEALTH PLAN OF CALIFORNIA, INC.","Humana Health Plan of California, Inc.",Humana Inc.,3,2,5,4,1,2,Plan too new to be measured,Plan too new to be measured,2,2,No data available,No data available,No data available,Not enough data available,1,4,2,4,2,4,1,4,5,2,1,2,1,1,2,1,4,2,Not enough data available,5,Not enough data available,5,5
H0117,Local CCP,"WELLCARE OF OHIO, INC.",WellCare,"WellCare Health Plans, Inc.",2,2,4,4,3,3,5,1,2,3,3,2,4,Not enough data available,3,5,2,2,2,3,1,4,2,2,4,1,3,1,4,1,4,1,2,4,5,3,5
H0141,Local CCP,CARESOURCE MICHIGAN,CareSource,CareSource Management Group Co.,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,No data available,Plan too small to be measured,3,2,2,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,No data available,No data available,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Not enough data available,4,Not enough data available,Not enough data available,Not enough data available,Not enough data available,4,Not enough data available
H0150,Local CCP,"HEALTHSPRING OF ALABAMA, INC.","Healthspring of Alabama, Inc.",CIGNA,4,5,5,4,3,2,5,2,1,4,4,5,5,2,3,5,3,2,3,4,1,4,3,5,2,4,4,5,4,3,4,4,4,4,5,5,4
H0151,Local CCP,"UNITEDHEALTHCARE OF ALABAMA, INC.",UnitedHealthcare,"UnitedHealth Group, Inc.",2,3,4,3,2,2,4,2,1,2,2,2,2,1,3,4,2,2,3,3,2,3,3,3,3,3,4,4,3,3,1,4,1,3,3,5,5
H0154,Local CCP,"VIVA HEALTH, INC.",VIVA Medicare Plus,UAB Health System,4,4,4,4,3,3,5,2,2,4,4,4,5,1,4,4,4,4,5,4,2,4,3,4,2,4,4,4,4,4,4,5,2,3,3,5,5
