2014 Summary Star View: Medicare Part C Report Card Master Table,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Contract Number,Organization Type,Organization Marketing Name,Contract Name,Parent Organization,SNP,Sanction Deduction,2014 Part C Summary Rating,2014 Overall Rating,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0022,Demo,Buckeye Community Health Plan - MyCareOhio,"BUCKEYE COMMUNITY HEALTH PLAN, INC.",Centene Corporation,No,No,Plan too new to be measured,Plan too new to be measured,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0028,Local CCP,"CHA HMO, Inc.","CHA HMO, INC.",Humana Inc.,No,No,Plan too new to be measured,Plan too new to be measured,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0084,Local CCP,Care Improvement Plus,CARE IMPROVEMENT PLUS OF TEXAS INSURANCE COMPANY,"UnitedHealth Group, Inc.",Yes,No,2.5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0104,Local CCP,Blue Advantage (PPO),BLUE CROSS AND BLUE SHIELD OF ALABAMA,BlueCross BlueShield of Alabama,No,No,3.5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0107,Local CCP,Blue Cross and Blue Shield of Montana,"BLUE CROSS AND BLUE SHIELD OF MONTANA, INC.","BLUE CROSS AND BLUE SHIELD OF MONTANA, INC.",No,No,Plan too new to be measured,Plan too new to be measured,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0108,Local CCP,"Humana Health Plan of California, Inc.","HUMANA HEALTH PLAN OF CALIFORNIA, INC.",Humana Inc.,No,No,3,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0117,Local CCP,WellCare,"WELLCARE OF OHIO, INC.","WellCare Health Plans, Inc.",Yes,No,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0137,Demo,"Commonwealth Care Alliance, Inc.","COMMONWEALTH CARE ALLIANCE, INC.","Commonwealth Care Alliance, Inc.",No,No,Plan too new to be measured,Plan too new to be measured,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0141,Local CCP,McLarenAdvantage,"MCLAREN HEALTH PLAN, INC.",McLaren Health Care Corporation,Yes,No,Not enough data available,Not enough data available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0147,Demo,Anthem HealthKeepers,"HEALTHKEEPERS, INC.","WellPoint, Inc.",No,No,Plan too new to be measured,Plan too new to be measured,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0148,Demo,Care1st Health Plan,CARE1ST HEALTH PLAN,Care1st Health Plan,No,No,Plan too new to be measured,Plan too new to be measured,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0150,Local CCP,Cigna-HealthSpring,"HEALTHSPRING OF ALABAMA, INC.",CIGNA,Yes,No,4,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0151,Local CCP,UnitedHealthcare,"UNITEDHEALTHCARE OF ALABAMA, INC.","UnitedHealth Group, Inc.",Yes,No,3.5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0154,Local CCP,VIVA Medicare,"VIVA HEALTH, INC.",UAB Health System,Yes,No,4,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0192,Demo,Amerihealth VIP Care Plus,"AMERIHEALTH MICHIGAN, INC.",Independence Blue Cross,No,No,Plan too new to be measured,Plan too new to be measured,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0248,Local CCP,Humana Insurance Company,HUMANA INSURANCE COMPANY,Humana Inc.,No,No,3.5,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0251,Local CCP,UnitedHealthcare Community Plan,"UNITEDHEALTHCARE PLAN OF THE RIVER VALLEY, INC.","UnitedHealth Group, Inc.",Yes,No,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0281,Demo,IlliniCare Health Plan,ILLINICARE HEALTH PLAN,Centene Corporation,No,No,Plan too new to be measured,Plan too new to be measured,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0294,Local CCP,Care Improvement Plus,CARE IMPROVEMENT PLUS WISCONSIN INSURANCE COMPANY,"UnitedHealth Group, Inc.",Yes,No,Not enough data available,Not enough data available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0302,Local CCP,Blue Cross Blue Shield of Arizona Advantage,"MEDISUN, INC.","Veritage, LLC",No,No,4,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0303,Local CCP,UnitedHealthcare,"PACIFICARE OF ARIZONA, INC.","UnitedHealth Group, Inc.",No,No,3.5,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0316,Local CCP,UnitedHealthcare,"UNITEDHEALTHCARE OF ARIZONA, INC.","UnitedHealth Group, Inc.",No,No,3,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0317,Local CCP,Humana Insurance Company,HUMANA INSURANCE COMPANY,Humana Inc.,No,No,3,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0318,Local CCP,Aetna Medicare,"AETNA HEALTH, INC. (PA)",Aetna Inc.,No,No,3,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0319,Local CCP,UnitedHealthcare,UNITEDHEALTHCARE INSURANCE COMPANY,"UnitedHealth Group, Inc.",Yes,No,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0320,Local CCP,WellCare,"WELLCARE OF TEXAS, INC.","WellCare Health Plans, Inc.",No,No,2.5,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0321,Local CCP,UnitedHealthcare Community Plan,"ARIZONA PHYSICIANS IPA, INC.","UnitedHealth Group, Inc.",Yes,No,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0332,Local CCP,KelseyCare Advantage,"KS PLAN ADMINISTRATORS, LLC","Kelsey-Seybold Medical Group, PLLC",No,No,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0336,Demo,"Humana Health Plan, Inc.","HUMANA HEALTH PLAN, INC.",Humana Inc.,No,No,Plan too new to be measured,Plan too new to be measured,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0351,Local CCP,"Health Net of Arizona, Inc.","HEALTH NET OF ARIZONA, INC.","Health Net, Inc.",Yes,No,3.5,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0354,Local CCP,Cigna HealthCare of Arizona,"CIGNA HEALTHCARE OF ARIZONA, INC.",CIGNA,Yes,No,4.5,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0408,Local CCP,UnitedHealthcare,UNITEDHEALTHCARE INSURANCE COMPANY,"UnitedHealth Group, Inc.",Yes,No,Not enough data available,Not enough data available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0423,Local CCP,MetroPlus Health Plan,"METROPLUS HEALTH PLAN, INC.",New York City Health and Hospitals Corporation,Yes,No,3.5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0435,Local CCP,GLOBALHEALTH MEDICARE,"GLOBALHEALTH, INC.","The Oklahoma City Clinic, P.C.",No,No,Plan too new to be measured,Plan too new to be measured,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0439,Local CCP,Cigna-HealthSpring,"CIGNA HEALTHCARE OF GEORGIA, INC.",CIGNA,No,No,Plan too new to be measured,Plan too new to be measured,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0480,Demo,Meridian Complete,"MERIDIAN HEALTH PLAN OF MICHIGAN, INC.","Caidan Enterprises, Inc.",No,No,Plan too new to be measured,Plan too new to be measured,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0490,Local CCP,Molina Healthcare of Ohio,"MOLINA HEALTHCARE OF OHIO, INC.","Molina Healthcare, Inc.,",Yes,No,Not enough data available,Not enough data available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0502,1876 Cost,Contra Costa Health Plan,THE CONTRA COSTA HEALTH PLAN,Contra Costa Health Services,No,No,Not enough data available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0504,Local CCP,Blue Shield of California,CALIFORNIA PHYSICIANS' SERVICE,California Physicians' Service,No,No,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0523,Local CCP,Aetna Medicare,AETNA HEALTH OF CALIFORNIA INC.,Aetna Inc.,No,No,3.5,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0524,Local CCP,Kaiser Permanente,"KAISER FOUNDATION HP, INC.","Kaiser Foundation Health Plan, Inc.",Yes,No,4.5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0543,Local CCP,UnitedHealthcare,"UHC OF CALIFORNIA, INC.","UnitedHealth Group, Inc.",No,No,3.5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0544,Local CCP,CareMore Health Plan,CAREMORE HEALTH PLAN,"WellPoint, Inc.",Yes,No,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0545,Local CCP,Inter Valley Health Plan,"INTER VALLEY HEALTH PLAN, INC.",InterValley Health Plan,No,No,3.5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0562,Local CCP,Health Net of California,"HEALTH NET OF CALIFORNIA,INC.","Health Net, Inc.",Yes,No,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0564,Local CCP,Anthem Blue Cross,BLUE CROSS OF CALIFORNIA,"WellPoint, Inc.",No,No,3.5,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0571,Local CCP,Chinese Community Health Plan,CHINESE COMMUNITY HEALTH PLAN,Chinese Hospital Association,Yes,No,3.5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0602,1876 Cost,Rocky Mountain Health Plans,ROCKY MOUNTAIN HEALTH MAINTENANCE ORGANIZATION,"Rocky Mountain HMO, Inc.",No,No,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0609,Local CCP,UnitedHealthcare,"PACIFICARE OF COLORADO, INC","UnitedHealth Group, Inc.",No,No,3.5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0620,Local CCP,UnitedHealthcare,UNITEDHEALTHCARE INSURANCE COMPANY,"UnitedHealth Group, Inc.",Yes,No,3.5,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0621,Local CCP,Colorado Access Advantage,COLORADO ACCESS,Colorado Access,Yes,No,3,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0624,Local CCP,UnitedHealthcare,UNITEDHEALTHCARE INSURANCE COMPANY,"UnitedHealth Group, Inc.",Yes,No,2.5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0630,Local CCP,Kaiser Permanente,KAISER FOUNDATION HP OF CO,"Kaiser Foundation Health Plan, Inc.",Yes,No,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0657,1876 Cost,Colorado Choice Health Plans,COLORADO CHOICE HEALTH PLANS,Colorado Choice Health Plans,No,No,Not enough data available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
